#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
3433670168376,22739,-0.0402251892,0.0286296345,0.0657977238,0.0309335198,-0.000218290734,0.0221345797,0.99927628
3433686951814,22756,-0.0401807278,0.0285971873,0.0658096299,0.0309307203,-0.000209314385,0.0221326388,0.999276459
3433703643011,22772,-0.0401678942,0.0285705049,0.0658147261,0.0309335161,-0.000202356154,0.0221430007,0.999276102
3433720270251,22788,-0.0401637517,0.0285489187,0.0658150017,0.0309252311,-0.000204905315,0.0221491139,0.99927628
3433736944991,22806,-0.0401722528,0.0284945816,0.065849103,0.0309305936,-0.000203468633,0.0221538413,0.999275982
3433753618011,22822,-0.0401790328,0.0284512118,0.0658764839,0.0309341494,-0.000200793031,0.02215112,0.999275982
3433770260980,22838,-0.0401864164,0.0284355078,0.0658720285,0.0309294946,-0.000200902359,0.0221546181,0.999275982
3433786930095,22856,-0.0401937403,0.0284143817,0.065870434,0.0309277922,-0.000199092872,0.0221648738,0.999275863
3433803600199,22872,-0.0402011201,0.0283997431,0.0658740699,0.0309224781,-0.00019670144,0.0221643709,0.999275982
3433820260459,22888,-0.0402088165,0.0283822846,0.0658864602,0.0309236478,-0.000193971122,0.0221629012,0.999275982
3433836973636,22904,-0.0402191989,0.0283666514,0.0658949837,0.0309220757,-0.000192258027,0.0221594796,0.999276161
3433853594626,22922,-0.0401718393,0.0283738412,0.0659117177,0.030925557,-0.000190171093,0.0221596565,0.999276042
3433871215928,22939,-0.0401299857,0.0283816289,0.0659300685,0.0309215952,-0.000194942841,0.0221542511,0.99927628
3433886931032,22954,-0.0401514024,0.0283801295,0.0659364238,0.0309211798,-0.000199776347,0.0221561845,0.999276221
3433903665824,22972,-0.0401890576,0.0283831283,0.0659465864,0.0309072156,-0.00020399192,0.0221714061,0.99927634
3433920305147,22988,-0.0402117223,0.0283780657,0.0659580603,0.0309044085,-0.000205691395,0.0221827906,0.999276161
3433936928897,23004,-0.040261589,0.0283731576,0.0659836009,0.030907657,-0.000208171157,0.022192372,0.999275863
3433953602543,23020,-0.0403077193,0.0283674635,0.0660097077,0.0309178233,-0.000211174556,0.0221907552,0.999275565
3433970263428,23037,-0.0403457396,0.0283991583,0.0660415441,0.0309252348,-0.000213646708,0.0221830197,0.999275565
3433986932074,23054,-0.0403979756,0.0284521095,0.0660827681,0.0309256855,-0.000219328358,0.0221802406,0.999275506
3434004005095,23070,-0.0404255912,0.0284655802,0.0661013946,0.0309255179,-0.000222526258,0.0221817046,0.999275506
3434020272647,23087,-0.0404222086,0.0284656845,0.0661174655,0.0309257861,-0.000215977372,0.0221842993,0.999275446
3434037136918,23103,-0.040413253,0.0284677129,0.0661360249,0.030927049,-0.000211236009,0.022191558,0.999275327
3434053595355,23120,-0.0403970927,0.0284465775,0.0661756247,0.0309186131,-0.000216149187,0.0221942831,0.999275446
3434070266032,23137,-0.0403813273,0.0284175146,0.066220969,0.030917719,-0.000217496796,0.0221892167,0.999275625
3434086935043,23153,-0.0403966084,0.0284220837,0.0662233457,0.0309176836,-0.000213234453,0.0221807975,0.999275804
3434103627178,23169,-0.0404190756,0.0284376536,0.0662097484,0.0309197698,-0.000211999664,0.0221706387,0.999275982
3434120280563,23187,-0.0404346101,0.0284392443,0.0662107617,0.0309248101,-0.000204644355,0.0221658945,0.999275923
3434136929313,23203,-0.0404177271,0.0284287203,0.0662142709,0.0309214257,-0.000203237214,0.0221695658,0.999275982
3434153606449,23219,-0.0404075123,0.0284197107,0.0662164316,0.0309201386,-0.000207218342,0.0221699122,0.999275923
3434170262699,23235,-0.0404268801,0.0284356177,0.0661876425,0.0309101343,-0.000205097356,0.0221809093,0.999276042
3434186932282,23253,-0.0404503122,0.0284618996,0.0661409497,0.0309060141,-0.000205541379,0.0221839584,0.999276042
3434203602647,23269,-0.0404543616,0.028468566,0.066138491,0.0309067871,-0.000202440933,0.0221853983,0.999276042
