#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6897569613357,20,-0.194395617,0.115350552,-0.437151313,0.0876487717,0.977930069,-0.0390124843,0.185603008
6897952929502,0,-0.197241753,0.10711915,-0.353404313,-0.0620563328,0.984155178,-0.0834011212,-0.143637717
6897986262784,0,-0.197241753,0.10711915,-0.353404313,-0.0620563328,0.984155178,-0.0834011212,-0.143637717
6897986288669,1,-0.19807753,0.106538601,-0.345388561,-0.0859069601,0.980612576,-0.107538134,-0.139479414
6898019605648,1,-0.19807753,0.106538601,-0.345388561,-0.0859069601,0.980612576,-0.107538134,-0.139479414
6898019640232,2,-0.198622376,0.107780181,-0.340271443,-0.108839653,0.97072047,-0.163740307,-0.138002828
6898052944034,2,-0.198622376,0.107780181,-0.340271443,-0.108839653,0.97072047,-0.163740307,-0.138002828
6898052971273,3,-0.200410381,0.110107601,-0.336552799,-0.130615875,0.964747965,-0.191506088,-0.124604404
6898086266065,3,-0.200410381,0.110107601,-0.336552799,-0.130615875,0.964747965,-0.191506088,-0.124604404
6898086294815,4,-0.200177237,0.114226691,-0.331501305,-0.138985261,0.966912091,-0.185050741,-0.107332647
6898119599086,4,-0.200177237,0.114226691,-0.331501305,-0.138985261,0.966912091,-0.185050741,-0.107332647
6898119625492,5,-0.196314812,0.121525161,-0.326931477,-0.134333104,0.969121575,-0.179509267,-0.102637134
6898152924607,5,-0.196314812,0.121525161,-0.326931477,-0.134333104,0.969121575,-0.179509267,-0.102637134
6898152950596,6,-0.189564884,0.130848363,-0.325384766,-0.127084643,0.966436625,-0.189305097,-0.118377753
6898186271013,6,-0.189564884,0.130848363,-0.325384766,-0.127084643,0.966436625,-0.189305097,-0.118377753
6898186299346,7,-0.182249695,0.139939323,-0.326802343,-0.119048521,0.959857225,-0.212669879,-0.138827443
6898219592575,7,-0.182249695,0.139939323,-0.326802343,-0.119048521,0.959857225,-0.212669879,-0.138827443
