# t_mono tid fd path ioctl_name code dir size ret payload_hex
228595.788842102 1210 3 /dev/video0 MSM_CAM_V4L2_IOCTL_DAEMON_DISABLED 0x404056e3 1 64 0 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
228595.879290019 1210 6 /dev/syncboss0 WRITE - 0 0 3 280000
228596.079558300 1210 6 /dev/syncboss0 WRITE - 0 0 5 03a0028c08
228596.099771008 1210 6 /dev/syncboss0 WRITE - 0 0 4 2e000101
228596.099861998 1210 6 /dev/syncboss0 WRITE - 0 0 8 03a1058935820000
228596.120065539 1210 6 /dev/syncboss0 WRITE - 0 0 19 2a0010b80bb80bb80bb80ba000a000a000a000
228596.120177310 1210 6 /dev/syncboss0 WRITE - 0 0 5 03a2028d01
228596.140651321 1210 8 /dev/v4l-subdev12 VIDIOC_MSM_ISPIF_CFG 0xc17056c0 3 368 0 0a00000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
228596.140905018 1210 8 /dev/v4l-subdev12 VIDIOC_MSM_ISPIF_CFG 0xc17056c0 3 368 0 0200000000000050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
228596.142033612 1210 9 /dev/video3 VIDIOC_G_CTRL 0xc008561b 3 8 0 0e00000803000000
228596.142339289 1210 11 /dev/v4l-subdev3 VIDIOC_MSM_CSID_IO_CFG 0xc01056c5 3 16 10 00000000000000000000005000000000
228596.142968352 1210 7 /dev/ion ION_IOC_ALLOC 0xc0204900 3 32 0 00c0040000000000001000000000000000000002010000000100000000000000
228596.143058039 1210 7 /dev/ion ION_IOC_SHARE 0xc0084904 3 8 0 010000000e000000
228596.143114550 1210 7 /dev/ion ION_IOC_ALLOC 0xc0204900 3 32 0 00c0040000000000001000000000000000000002010000000200000000000000
228596.143167102 1210 7 /dev/ion ION_IOC_SHARE 0xc0084904 3 8 0 020000000f000000
228596.143208716 1210 7 /dev/ion ION_IOC_ALLOC 0xc0204900 3 32 0 00c0040000000000001000000000000000000002010000000300000000000000
228596.143260956 1210 7 /dev/ion ION_IOC_SHARE 0xc0084904 3 8 0 0300000010000000
228596.143301893 1210 7 /dev/ion ION_IOC_ALLOC 0xc0204900 3 32 0 00c0040000000000001000000000000000000002010000000400000000000000
228596.143353404 1210 7 /dev/ion ION_IOC_SHARE 0xc0084904 3 8 0 0400000011000000
228596.143395643 1210 10 /dev/video3 VIDIOC_S_PARM 0xc0cc5616 3 204 0 090000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
228596.143510539 1210 10 /dev/video3 VIDIOC_S_FMT 0xc0d05605 3 208 0 09000000000000000900000080020000e1010000475245590100000080b204000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
228596.143646946 1210 10 /dev/video3 VIDIOC_REQBUFS 0xc0145608 3 20 0 0400000009000000020000000000000000000000
228596.143693300 1210 10 /dev/video3 VIDIOC_QBUF 0xc058560f 3 88 0 0000000009000000000000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000030b4f7e47f00000001000000000000000000000000000000
228596.143766998 1210 10 /dev/video3 VIDIOC_QBUF 0xc058560f 3 88 0 0100000009000000000000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000030b4f7e47f00000001000000000000000000000000000000
228596.143831268 1210 10 /dev/video3 VIDIOC_QBUF 0xc058560f 3 88 0 0200000009000000000000000220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000030b4f7e47f00000001000000000000000000000000000000
