#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
2528246866000,-1.112136005,3.186205662,0.270577150,-9.045293872,-0.960074866,-7.422025146
2528247873000,-1.097222303,3.186205662,0.267381357,-9.100360510,-0.905008228,-7.448361365
2528248879000,-1.083373865,3.184075133,0.265250828,-9.198522778,-0.861912598,-7.479485986
2528249886000,-1.069525427,3.178748811,0.264185563,-9.260772021,-0.854729993,-7.493851196
2528250892000,-1.056742254,3.172357224,0.263120299,-9.275137231,-0.825999573,-7.539341028
2528251898000,-1.042893816,3.167030902,0.260989770,-9.318232861,-0.780509741,-7.589619263
2528252905000,-1.030110643,3.161704580,0.258859241,-9.366116895,-0.713472095,-7.611167078
2528253911000,-1.018392734,3.155312993,0.257793977,-9.375693701,-0.639251843,-7.666233716
2528254918000,-1.006674825,3.149986671,0.256728712,-9.390058911,-0.615309827,-7.694964136
2528255924000,-0.992826388,3.142529820,0.255663448,-9.404424121,-0.617704028,-7.690175732
2528256931000,-0.980043215,3.134007704,0.254598184,-9.433154541,-0.598550415,-7.733271362
2528257937000,-0.968325306,3.124420325,0.255663448,-9.466673364,-0.574608398,-7.785943799
2528258944000,-0.956607397,3.114832945,0.256728712,-9.473855969,-0.574608398,-7.809885815
2528259950000,-0.944889488,3.106310829,0.255663448,-9.493009583,-0.548272180,-7.869740857
2528260957000,-0.932106315,3.095658185,0.255663448,-9.507374792,-0.521935962,-7.927201697
2528261963000,-0.917192613,3.085005540,0.254598184,-9.507374792,-0.526724365,-7.967903125
2528262970000,-0.903344175,3.074352896,0.253532919,-9.521740002,-0.519541760,-8.008604553
2528263976000,-0.889495738,3.064765516,0.253532919,-9.552864624,-0.497993945,-8.020575562
2528264983000,-0.875647300,3.055178136,0.252467655,-9.557653027,-0.476446130,-8.015787158
2528265989000,-0.860733598,3.045590756,0.251402390,-9.586383447,-0.442927307,-7.996633545
2528266995000,-0.845819896,3.033872848,0.250337126,-9.643844287,-0.395043274,-7.943961108
2528268002000,-0.833036722,3.021089674,0.249271861,-9.682151514,-0.335188232,-7.920019092
2528269008000,-0.822384078,3.006175972,0.249271861,-9.686939917,-0.299275208,-7.905653882
2528270015000,-0.814927227,2.992327534,0.248206597,-9.641450085,-0.304063611,-7.920019092
2528271021000,-0.806405111,2.979544361,0.246076068,-9.603142859,-0.318428821,-7.984662537
2528272028000,-0.797882996,2.966761188,0.245010804,-9.581595044,-0.284909998,-8.068459595
