#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
24008964763391,11624,-0.610256732,0.0100785717,-1.24218583,0.0970563218,0.792940974,0.422547609,-0.428110182
24008981542193,11640,-0.609191954,0.00766780972,-1.23878646,0.0968185961,0.794548213,0.429018855,-0.418643296
24008998453235,11657,-0.608328283,0.00614885241,-1.23469627,0.0945040658,0.798606634,0.432377458,-0.407855719
24009014863443,11674,-0.607870758,0.00559480488,-1.23006248,0.0903458446,0.804673493,0.432778329,-0.396284133
24009031548079,11690,-0.60760355,0.00589384139,-1.22541285,0.0854590982,0.811623812,0.431645036,-0.384247452
24009048219902,11707,-0.607470751,0.0069706589,-1.22036445,0.0796802193,0.819852054,0.42969051,-0.369945586
24009064862558,11723,-0.608076215,0.00838515162,-1.21541107,0.0738653913,0.828131735,0.427352905,-0.355121523
24009083780683,11741,-0.60922116,0.0100998953,-1.20974779,0.0670273677,0.837866664,0.42428562,-0.336851031
24009098720110,11757,-0.610269129,0.0115636587,-1.20470452,0.0604419485,0.846753597,0.421162277,-0.319339216
24009114863964,11773,-0.611694813,0.0129959583,-1.19967294,0.05307642,0.855773687,0.41749382,-0.300887406
24009131526360,11789,-0.613266289,0.0140002966,-1.19466543,0.0450268537,0.864869535,0.413290918,-0.281360865
24009148203860,11806,-0.615318537,0.0148880482,-1.18941057,0.0361800082,0.874288082,0.408861488,-0.259120941
24009164878599,11823,-0.61784637,0.0157791823,-1.1844883,0.0274598915,0.883037806,0.405270368,-0.235045135
24009181936777,11839,-0.620434821,0.0161867365,-1.18013573,0.0195778422,0.890317023,0.403205127,-0.210660771
24009198194485,11855,-0.623469889,0.0164037421,-1.17604065,0.0119697833,0.896539927,0.402362764,-0.184870899
24009214880527,11872,-0.626960099,0.0163511932,-1.17195654,0.00388940447,0.901970208,0.402406693,-0.156535983
24009231531516,11889,-0.630872071,0.0159512609,-1.16817141,-0.00472654868,0.906311512,0.40285778,-0.127603516
24009248211152,11905,-0.634794831,0.0153294504,-1.16485846,-0.0135095296,0.909493804,0.403316528,-0.0998713225
24009265121568,11922,-0.639092088,0.0145042092,-1.16156459,-0.023507975,0.911931217,0.403662533,-0.0698955655
24009281528704,11938,-0.643414676,0.0137111396,-1.15871465,-0.0331808887,0.913321972,0.403774232,-0.0413330272
24009298463235,11955,-0.648073494,0.0127339661,-1.15580571,-0.0433754846,0.91403538,0.403160542,-0.0109361671
24009314863547,11972,-0.652985752,0.0116597936,-1.1532433,-0.0530668683,0.913993418,0.401787043,0.0191620253
24009331535058,11988,-0.657330096,0.0106419474,-1.15104163,-0.0614763722,0.913174689,0.400162548,0.0469323173
24009348345006,12004,-0.661691844,0.00962147117,-1.14906776,-0.0692483485,0.911809027,0.397896022,0.074079223
24009364875787,12022,-0.666627944,0.00857186317,-1.14712238,-0.0772940144,0.909980357,0.393994033,0.103586674
24009381572610,12038,-0.670713544,0.00778331608,-1.14527154,-0.0836704671,0.908151984,0.389624894,0.128264353
24009398207818,12054,-0.674998522,0.00713160634,-1.14341474,-0.0891274214,0.906103909,0.385126889,0.150696188
24009414888808,12071,-0.679508626,0.00647180527,-1.14108086,-0.0937521756,0.903973699,0.380277097,0.171555907
24009431587870,12088,-0.683632493,0.00562924892,-1.13783741,-0.0970559865,0.902379394,0.374906152,0.189042449
24009448194068,12104,-0.687316537,0.00443343073,-1.13401937,-0.0988859162,0.901759207,0.368988544,0.202236131
24009464892506,12120,-0.691138446,0.00268048048,-1.13003278,-0.0995803103,0.902042091,0.362328917,0.212418348
24009481582037,12138,-0.695128083,-0.000162146986,-1.12528825,-0.0989571884,0.90345192,0.353844941,0.220852733
24009498457714,12154,-0.698213696,-0.00372939557,-1.12058759,-0.0971021503,0.905724108,0.345196307,0.225996986
24009514866516,12170,-0.701514125,-0.00850448757,-1.11580741,-0.0943525583,0.908758581,0.335810512,0.229100063
24009531525422,12187,-0.704745948,-0.0148597583,-1.11049128,-0.0909209773,0.912268281,0.325950086,0.230773821
24009548236203,12203,-0.707658768,-0.0220586658,-1.10543847,-0.0874464139,0.915495992,0.317344755,0.231327862
24009564862245,12220,-0.710472465,-0.031080775,-1.10003269,-0.0836855844,0.918748796,0.30874601,0.23145926
24009581539016,12237,-0.712827384,-0.0415089875,-1.09456527,-0.0797604918,0.921707511,0.300881118,0.231439084
24009598649068,12254,-0.715288043,-0.0532161146,-1.08937073,-0.0753035694,0.924555421,0.293636709,0.230876967
24009614881308,12270,-0.717235267,-0.0650960654,-1.08439314,-0.0700971633,0.927686751,0.286041647,0.229486078
24009631537401,12286,-0.719334781,-0.0777864009,-1.07908058,-0.063970603,0.93170321,0.276234925,0.227005094
24009648197037,12303,-0.721210778,-0.0919635966,-1.0729928,-0.0562999584,0.936780334,0.263499737,0.223250687
24009664864901,12319,-0.722958267,-0.105728187,-1.06732237,-0.0484855957,0.94160533,0.251331359,0.218772024
24009681608026,12336,-0.725142598,-0.12092346,-1.06162572,-0.0402719267,0.946107209,0.240636617,0.212963477
24009698253391,12353,-0.726597786,-0.136796907,-1.05633545,-0.0325870365,0.949575305,0.233853623,0.206294373
24009714877818,12369,-0.727799296,-0.152434409,-1.05193007,-0.0261925384,0.951956749,0.230920106,0.199420154
24009731528808,12385,-0.728602409,-0.168734804,-1.04788351,-0.0207793899,0.953894973,0.230140522,0.191541344
24009748206776,12401,-0.729170978,-0.185487092,-1.04432344,-0.0163919814,0.955706298,0.230372384,0.182442829
24009764867974,12419,-0.730035901,-0.204665691,-1.04106641,-0.0126218041,0.957455635,0.232027486,0.171122074
24009781538808,12435,-0.730027258,-0.221950859,-1.03851891,-0.0105433026,0.958497703,0.235199615,0.160786167
24009798208860,12451,-0.729593635,-0.239379525,-1.03632724,-0.00961108506,0.95906359,0.239645004,0.15058212
24009814861828,12469,-0.72924006,-0.258957624,-1.03414333,-0.00978784543,0.959357738,0.245155185,0.139412761
24009831544380,12485,-0.729169309,-0.276140511,-1.0325675,-0.0107934484,0.95966202,0.249102369,0.129924268
24009848197245,12501,-0.729360163,-0.293150902,-1.03107607,-0.0125861159,0.960179329,0.251223743,0.121589564
24009864885058,12518,-0.729599476,-0.310881287,-1.02954113,-0.0150536858,0.960941255,0.25156489,0.114369862
24009881568443,12535,-0.729979813,-0.328078896,-1.02834594,-0.0180184059,0.961773574,0.250860423,0.108333416
24009898293703,12551,-0.730160952,-0.343829542,-1.0274477,-0.0210606605,0.962407887,0.250229359,0.103502877
24009914862922,12568,-0.730471313,-0.360059053,-1.02692807,-0.0242420323,0.962722838,0.250481665,0.0991770029
24009931601255,12585,-0.730566025,-0.375799328,-1.02679121,-0.0272625666,0.96273464,0.251501888,0.0956325531
24009948196985,12601,-0.73067838,-0.390042722,-1.02705467,-0.0297458656,0.962812424,0.252062917,0.0925839543
24009964864224,12617,-0.731120527,-0.403592855,-1.02775955,-0.0321550518,0.963180304,0.251467824,0.0895188749
24009981588078,12634,-0.731056333,-0.417338043,-1.02880454,-0.0345478281,0.963781595,0.249933586,0.0863984451
24009998225474,12650,-0.730790734,-0.429534227,-1.03021526,-0.0365838706,0.964421034,0.24809742,0.0836741924
24010014922037,12666,-0.730742753,-0.440891325,-1.0321945,-0.0383194424,0.965119004,0.245978221,0.0810657889
24010031528599,12684,-0.730629206,-0.452519238,-1.03495872,-0.0400332436,0.966118217,0.242706671,0.0781440511
24010048191828,12700,-0.730459988,-0.461578965,-1.03788626,-0.0415761024,0.967256904,0.238723636,0.0754761845
24010064865682,12717,-0.730031192,-0.469643563,-1.04166508,-0.0434395112,0.968674242,0.233459681,0.0726625174
24010081527766,12734,-0.729509413,-0.475904077,-1.04616654,-0.0452445745,0.970324457,0.227122694,0.0695609003
24010098345630,12750,-0.728844762,-0.480105221,-1.05091882,-0.0467807874,0.972184479,0.219629467,0.0665720925
24010114862037,12766,-0.728242338,-0.482500196,-1.05629408,-0.0481591821,0.974270344,0.210853919,0.0633921623
24010131526620,12783,-0.727347672,-0.483005077,-1.06260693,-0.0494668037,0.976651847,0.20032905,0.05977045
24010148194693,12800,-0.726348698,-0.481388122,-1.06954706,-0.0507625453,0.979051769,0.189053223,0.0560332537
24010164859485,12816,-0.725396812,-0.477953225,-1.0766679,-0.0518519357,0.981262565,0.178043321,0.0523049273
24010181801047,12832,-0.72437185,-0.472563952,-1.08423245,-0.0527271293,0.983364224,0.167016774,0.0481679849
24010198203391,12850,-0.723344147,-0.46406877,-1.09322977,-0.0535194539,0.985610902,0.154333904,0.0434504375
24010214856672,12866,-0.722452164,-0.454403549,-1.10156095,-0.0538931414,0.987571359,0.142279446,0.0394318439
24010231530839,12882,-0.72156167,-0.442798644,-1.10991514,-0.054016199,0.989496946,0.129178703,0.0359287895
24010248191568,12899,-0.720522642,-0.428236187,-1.11871707,-0.0534559861,0.991490543,0.114096187,0.0327272899
24010264880943,12915,-0.719584107,-0.412625641,-1.12691057,-0.052438762,0.993250132,0.0990715623,0.0298216641
24010281527089,12932,-0.718548894,-0.394488543,-1.13537347,-0.0510442071,0.994936168,0.0823689252,0.0266829524
24010298215839,12948,-0.717283845,-0.376182675,-1.14317775,-0.0499210283,0.996274948,0.0662491992,0.0235647187
24010314875005,12965,-0.715952277,-0.355726391,-1.15129638,-0.0491464101,0.997392058,0.0490131639,0.0197848212
24010331529068,12982,-0.714534104,-0.334624857,-1.15931332,-0.0487393998,0.998175383,0.0319920182,0.0157158878
24010348317766,12998,-0.712548196,-0.314696014,-1.16711974,-0.0483131148,0.998621464,0.0167048983,0.0119204884
24010364863964,13015,-0.710227549,-0.293423593,-1.17521513,-0.0476861335,0.998828948,0.00249700015,0.00778331421
24010381564901,13032,-0.708166361,-0.271940649,-1.18279886,-0.0471020229,0.998848677,-0.0087567037,0.00249533099
24010398210891,13048,-0.706081092,-0.251746863,-1.18959403,-0.0467494354,0.998754323,-0.017156763,-0.00317225489
24010414859328,13064,-0.703661382,-0.231593728,-1.19593978,-0.0465624891,0.99859482,-0.023702953,-0.00886432268
24010431542036,13081,-0.701244831,-0.210377976,-1.20241642,-0.046197921,0.998422265,-0.0283097308,-0.0147419488
24010448195266,13098,-0.698780119,-0.189520746,-1.20857608,-0.045216281,0.998303771,-0.030275885,-0.0207020044
24010464859172,13114,-0.696535707,-0.170089424,-1.21387506,-0.0432750061,0.998257995,-0.0299286135,-0.0266945008
24010482118391,13132,-0.69471401,-0.148172304,-1.21934998,-0.0406107157,0.998262823,-0.0269646738,-0.0330936201
24010498214589,13147,-0.693220675,-0.129962236,-1.22349119,-0.0380815901,0.998268962,-0.023116,-0.0384018198
24010515020370,13164,-0.691456974,-0.10944204,-1.22784948,-0.0352632925,0.998222649,-0.0168798808,-0.0449804328
24010531532297,13181,-0.689486444,-0.0890821218,-1.23206604,-0.0324627869,0.99806875,-0.00873930287,-0.0522364266
24010548207349,13197,-0.687792003,-0.0701697692,-1.23593366,-0.0299261175,0.997773588,0.000175787369,-0.0596014932
24010564904589,13213,-0.686677098,-0.0515018813,-1.23985279,-0.0274244044,0.997284412,0.00979130343,-0.0676459521
24010581653078,13231,-0.685496747,-0.0308200754,-1.24421871,-0.0244038571,0.996501625,0.0202820394,-0.0773157999
24010598213078,13247,-0.684170008,-0.0127400458,-1.24793458,-0.0216751136,0.99565661,0.0286241397,-0.0859004781
24010614872714,13263,-0.68262887,0.00493233278,-1.25167739,-0.0189423151,0.994746447,0.0357235,-0.0940461308
24010631527245,13279,-0.681204438,0.0218194462,-1.25545216,-0.0162294358,0.993850529,0.0417193733,-0.10127826
24010648211880,13297,-0.67971915,0.0394183509,-1.25976944,-0.0131331524,0.992937267,0.0473302938,-0.107994996
24010664874328,13313,-0.678339362,0.0536107011,-1.26383364,-0.0106943138,0.992251158,0.0510009639,-0.1127932
24010681857870,13329,-0.676867723,0.0663236082,-1.26822805,-0.00893473905,0.991642952,0.0534444824,-0.117081821
24010698439641,13346,-0.674826682,0.0780823827,-1.27345145,-0.00777328806,0.991026819,0.0552855246,-0.12144541
24010714875370,13363,-0.672151506,0.0879440308,-1.27932799,-0.00702769915,0.990360081,0.0573652871,-0.125883713
24010731557245,13379,-0.669663966,0.0958417207,-1.28514314,-0.00621675793,0.98962611,0.0604120344,-0.130199984
24010748198859,13396,-0.666745067,0.1027143,-1.29163718,-0.00520025427,0.988635778,0.0654237419,-0.135248199
24010764860786,13412,-0.663705826,0.107985616,-1.29802012,-0.00380017865,0.987380266,0.0718397871,-0.141084865
24010781733130,13428,-0.660414457,0.112235829,-1.30450785,-0.00165372435,0.985762656,0.0789041147,-0.148470238
24010798197870,13446,-0.656569362,0.115843013,-1.31167328,0.000948736095,0.98368609,0.0859205499,-0.15804565
24010814875057,13462,-0.652767599,0.118050054,-1.31830359,0.00349894864,0.981685221,0.0911325961,-0.167262584
24010831536359,13478,-0.648919404,0.119740546,-1.32479358,0.00644434383,0.979545712,0.0951578841,-0.177183002
24010848195318,13495,-0.644743145,0.121087968,-1.33138025,0.00966061186,0.977100313,0.0975763276,-0.188840181
24010864868390,13512,-0.640300155,0.121986225,-1.33784389,0.0128283137,0.974430263,0.0983428881,-0.201617911
24010881572974,13528,-0.63595587,0.122495577,-1.34376717,0.0157756843,0.971693516,0.0981015339,-0.214333966
24010898210422,13544,-0.631305635,0.12253236,-1.34966207,0.0185852628,0.968735933,0.0974595845,-0.227391466
24010914865109,13562,-0.625981987,0.122224256,-1.35605979,0.0217704717,0.965063751,0.0968314186,-0.242490649
24010931531099,13578,-0.621051788,0.121537983,-1.3617599,0.0243873894,0.961476743,0.0963568017,-0.256287277
24010948248026,13594,-0.615870655,0.120632641,-1.36728907,0.0266810674,0.957585096,0.0961368233,-0.270327091
24010964865474,13611,-0.610009551,0.119674034,-1.37286544,0.0288606677,0.952892959,0.0965522453,-0.286076576
24010981640890,13628,-0.603616774,0.118604004,-1.37843204,0.0308735557,0.947667003,0.0975317582,-0.302426338
24010998223026,13644,-0.59737581,0.117565364,-1.38354731,0.0329062305,0.94231534,0.0989484489,-0.318069577
24011014894693,13661,-0.590482593,0.116407052,-1.38901317,0.0353372954,0.93625921,0.101061843,-0.334599108
