#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
1109831440000,-0.368581462,-0.747815568,-0.059654804,-8.604760767,1.072602344,0.019153613
1109832446000,-0.374973048,-0.744619774,-0.041545313,-8.588001355,1.060631335,0.009576807
1109833452000,-0.382429899,-0.739293452,-0.022370551,-8.556876733,1.046266125,-0.011971008
1109834459000,-0.390952015,-0.733967130,-0.003195793,-8.530540515,1.036689319,0.011971008
1109835465000,-0.399474130,-0.728640808,0.015978966,-8.530540515,1.029506714,0.043095630
1109836472000,-0.406930981,-0.724379750,0.034088460,-8.499415894,1.034295117,0.038307227
1109837478000,-0.412257303,-0.721183957,0.050067424,-8.470685474,1.005564697,0.045489832
1109838485000,-0.417583626,-0.714792370,0.067111655,-8.451531860,0.972045874,0.088585461
1109839491000,-0.425040477,-0.709466048,0.084155890,-8.429984045,1.003170496,0.126892688
1109840497000,-0.432497328,-0.705204990,0.103330642,-8.420407239,0.998382092,0.141257898
1109841504000,-0.442084708,-0.700943932,0.122505402,-8.403647827,0.967257471,0.160411511
1109842510000,-0.449541559,-0.696682941,0.140614906,-8.384494214,0.952892261,0.203507141
1109843517000,-0.454867881,-0.694552412,0.158724401,-8.365340601,0.912190833,0.239420166
1109844523000,-0.460194203,-0.691356619,0.176833880,-8.353369592,0.895431421,0.258573779
1109845529000,-0.466585790,-0.687095561,0.194943375,-8.331821777,0.864306799,0.268150586
1109846536000,-0.471912112,-0.683899768,0.211987606,-8.331821777,0.833182178,0.323217224
1109847542000,-0.477238434,-0.680703975,0.229031837,-8.343792786,0.830787976,0.373495459
1109848549000,-0.482564756,-0.678573446,0.247141333,-8.315062366,0.790086548,0.392649072
1109849555000,-0.487891078,-0.676442917,0.266316092,-8.315062366,0.739808313,0.421379492
1109850562000,-0.494282665,-0.674312388,0.283360340,-8.331821777,0.737414111,0.459686719
1109851568000,-0.499608987,-0.673247124,0.301469835,-8.317456567,0.718260498,0.517147559
1109852574000,-0.504935309,-0.671116595,0.319579331,-8.312668164,0.665588062,0.553060583
1109853581000,-0.510261632,-0.670051330,0.336623562,-8.315062366,0.646434448,0.577002600
1109854587000,-0.516653218,-0.671116595,0.353667759,-8.322244971,0.641646045,0.617704028
1109855594000,-0.521979540,-0.671116595,0.368581462,-8.341398584,0.622492432,0.656011255
1109856600000,-0.528371127,-0.670051330,0.383495164,-8.358157996,0.577002600,0.694318481
1109857606000,-0.534762714,-0.668986066,0.399474130,-8.372523206,0.538695374,0.718260498
1109858613000,-0.541154300,-0.668986066,0.416518361,-8.362946399,0.509964954,0.749385120
1109859619000,-0.548611151,-0.670051330,0.431432063,-8.358157996,0.490811340,0.787692346
1109860626000,-0.555002738,-0.668986066,0.446345765,-8.391676819,0.462080920,0.804451758
1109861632000,-0.561394358,-0.667920801,0.462324732,-8.422801440,0.447715710,0.833182178
1109862639000,-0.567785944,-0.668986066,0.477238434,-8.427589844,0.423773694,0.854729993
1109863645000,-0.573112267,-0.671116595,0.492152136,-8.446743457,0.399831677,0.883460413
1109864651000,-0.580569118,-0.671116595,0.506000574,-8.477868079,0.392649072,0.909796631
1109865658000,-0.589091233,-0.671116595,0.519849011,-8.492233289,0.363918652,0.885854614
1109866664000,-0.596548084,-0.671116595,0.532632185,-8.485050684,0.347159241,0.883460413
1109867671000,-0.606135464,-0.671116595,0.545415358,-8.485050684,0.318428821,0.914585034
1109868677000,-0.615722844,-0.671116595,0.559263829,-8.523357910,0.306457812,0.931344446
1109869684000,-0.623179695,-0.673247124,0.572047002,-8.544905725,0.313640417,0.926556042
1109870690000,-0.630636546,-0.675377652,0.582699647,-8.542511523,0.292092603,0.938527051
1109871696000,-0.640223926,-0.677508181,0.592287026,-8.547299927,0.268150586,0.962469067
1109872703000,-0.649811306,-0.676442917,0.604004935,-8.540117322,0.260967981,0.976834277
1109873709000,-0.662594479,-0.675377652,0.616788108,-8.554482532,0.229843359,0.969651672
1109874716000,-0.672181859,-0.676442917,0.628506017,-8.590395557,0.213083948,0.943315454
1109875722000,-0.681769239,-0.677508181,0.640223926,-8.623914380,0.208295544,0.962469067
1109876728000,-0.692421883,-0.677508181,0.653007099,-8.643067993,0.177170923,0.988805286
1109877735000,-0.703074461,-0.676442917,0.664725008,-8.635885388,0.143652100,0.986411084
1109878741000,-0.713727106,-0.676442917,0.674312388,-8.638279590,0.126892688,1.000776294
1109879748000,-0.725445014,-0.676442917,0.683899768,-8.640673792,0.119710083,1.012747302
1109880754000,-0.737162923,-0.677508181,0.695617677,-8.669404211,0.083797058,1.017535706
1109881761000,-0.748880832,-0.676442917,0.704139726,-8.690952026,0.035913025,1.034295117
1109882767000,-0.761664005,-0.675377652,0.713727106,-8.662221606,0.019153613,1.046266125
1109883773000,-0.774447178,-0.675377652,0.723314485,-8.686163623,0.007182605,1.063025537
1109884780000,-0.785099823,-0.676442917,0.733967130,-8.746018665,-0.045489832,1.091755957
1109885786000,-0.797882996,-0.675377652,0.743554510,-8.769960681,-0.059855042,1.110909570
1109886793000,-0.809600905,-0.674312388,0.751011361,-8.784325891,-0.059855042,1.127668982
1109887799000,-0.821318814,-0.673247124,0.759533476,-8.810662109,-0.100556470,1.137245789
1109888805000,-0.833036722,-0.673247124,0.768055592,-8.815450513,-0.134075293,1.139639990
1109889812000,-0.843689367,-0.674312388,0.775512443,-8.832209924,-0.146046301,1.142034192
1109890818000,-0.855407276,-0.675377652,0.784034558,-8.863334546,-0.191536133,1.175553015
1109891825000,-0.867125184,-0.676442917,0.792556674,-8.872911353,-0.234631763,1.211466040
1109892831000,-0.879908358,-0.676442917,0.800013525,-8.868122949,-0.232237561,1.240196460
1109893838000,-0.892691531,-0.678573446,0.806405111,-8.892064966,-0.296881006,1.249773267
