#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
26885570892919,22404,-0.493823349,0.256462425,-0.811699688,0.134543642,0.156238839,0.0922184587,0.974157691
26885587656513,22420,-0.500102758,0.257905811,-0.805957675,0.137231335,0.169278353,0.0838825405,0.972356021
26885604316669,22438,-0.50674361,0.259161592,-0.799281836,0.138806522,0.183986366,0.0747250915,0.970205128
26885621002606,22454,-0.512030363,0.259914488,-0.793220341,0.139026284,0.197314426,0.0673508793,0.968092263
26885637667658,22470,-0.516751945,0.260308474,-0.787184834,0.13836807,0.21088852,0.0607541092,0.965758383
26885654339533,22487,-0.520967126,0.260186821,-0.780993938,0.137119442,0.224907026,0.0544916019,0.963143706
26885670998908,22504,-0.524432302,0.259497941,-0.775039196,0.135400131,0.2377152,0.0487876944,0.96061337
26885687654065,22520,-0.527032554,0.258356243,-0.769548416,0.133090362,0.248282775,0.0437353738,0.958504021
26885704348544,22536,-0.528955758,0.256709903,-0.764310539,0.129890516,0.257382572,0.0389090404,0.956749082
26885720997138,22554,-0.53039974,0.254252315,-0.758874297,0.125227764,0.266199589,0.0342623517,0.955134511
26885737668440,22570,-0.530864298,0.25146392,-0.754509687,0.120379403,0.273124158,0.0313859545,0.953900874
26885754403127,22586,-0.530706525,0.248175651,-0.750680387,0.115092725,0.279003114,0.0299482774,0.952897787
26885770994429,22602,-0.529954791,0.244351804,-0.747286975,0.109505154,0.283556253,0.029863853,0.952214658
26885787704794,22620,-0.528474331,0.239501923,-0.744059145,0.102819756,0.287030637,0.031061003,0.951880634
26885804325627,22636,-0.52674973,0.234833166,-0.741856992,0.0966176465,0.288728446,0.0330017693,0.951951623
26885821045992,22652,-0.524610758,0.229760423,-0.74020946,0.0903929099,0.289046198,0.0358377881,0.952363968
26885837773960,22669,-0.522036731,0.224042982,-0.739027858,0.0837088004,0.287972987,0.0398040675,0.953142226
26885854327346,22686,-0.519202411,0.218040407,-0.73831296,0.0767430663,0.285820067,0.0447118469,0.954158485
26885870993908,22702,-0.516292274,0.212262347,-0.73817271,0.0700940192,0.283194065,0.0499379449,0.955193281
26885887657763,22718,-0.513254642,0.206457362,-0.738665938,0.0635687187,0.279820442,0.05559735,0.956330776
