#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
33310786743072,36515,-0.184021682,-0.20606339,-1.41196799,-0.000963297847,-0.855163038,0.00968685653,-0.518267691
33310803522968,36532,-0.184019223,-0.206061512,-1.41197217,-0.000960903242,-0.855163872,0.00969223585,-0.51826632
33310820186562,36548,-0.184013739,-0.206065238,-1.41197085,-0.000961312966,-0.85516423,0.00969170127,-0.518265724
33310836849582,36564,-0.18400538,-0.20607166,-1.41196609,-0.000963558385,-0.855165839,0.00969083048,-0.518262982
33310853515259,36582,-0.18400003,-0.206075683,-1.4119643,-0.000962093414,-0.855169594,0.00969083235,-0.518256962
33310870201926,36598,-0.183987737,-0.206052214,-1.41195846,-0.000964511244,-0.855166376,0.00969585124,-0.518262029
33310886857499,36614,-0.183974326,-0.206026316,-1.41195428,-0.000959504279,-0.855164349,0.00969984755,-0.518265426
33310903522395,36631,-0.183974802,-0.206013501,-1.41194904,-0.000956972071,-0.855165482,0.0096965963,-0.518263519
33310920560572,36648,-0.183980063,-0.205997705,-1.41194153,-0.000964616367,-0.85516417,0.00969501864,-0.518265665
33310936839687,36664,-0.183977351,-0.205989599,-1.41194022,-0.000963026367,-0.855161726,0.00969446357,-0.518269718
33310953505728,36680,-0.183971465,-0.205987826,-1.41194308,-0.000961399113,-0.855157495,0.00970381778,-0.518276632
33310970200103,36697,-0.183966368,-0.205984965,-1.41194379,-0.00095724006,-0.855155468,0.0096967984,-0.518280029
33310986870884,36714,-0.183973446,-0.205984518,-1.41193604,-0.000963414961,-0.855157971,0.00968418829,-0.518276155
33311003524582,36730,-0.183986038,-0.205984309,-1.41192627,-0.000963158964,-0.855160654,0.00967734866,-0.518271863
33311020204426,36747,-0.183989555,-0.205978677,-1.4119246,-0.000960757316,-0.855159223,0.00968059618,-0.518274128
33311037000051,36763,-0.183993071,-0.205966607,-1.41193092,-0.000962561404,-0.855160415,0.00967868138,-0.518272281
33311053524426,36780,-0.183997065,-0.20595485,-1.41193485,-0.00096706039,-0.855161488,0.00967237167,-0.518270612
33311070220364,36797,-0.184012324,-0.205961928,-1.41195178,-0.000967727392,-0.855160773,0.00967145897,-0.518271804
33311086881405,36813,-0.184027329,-0.205970272,-1.41196799,-0.000965890067,-0.855160475,0.00967867952,-0.518272161
33311103504009,36830,-0.184023947,-0.205958828,-1.4119699,-0.000972645474,-0.855158448,0.00968434382,-0.51827538
33311120226614,36846,-0.184020743,-0.205945462,-1.41197324,-0.000978993834,-0.855159283,0.00968010724,-0.518274009
33311136838749,36863,-0.184026465,-0.205944195,-1.41197073,-0.000975888397,-0.855159402,0.00967461895,-0.51827389
33311153531874,36879,-0.184038773,-0.205961078,-1.41195667,-0.000970566238,-0.855160475,0.00968186744,-0.518271983
33311170182395,36895,-0.184050947,-0.205974549,-1.41194272,-0.000972832262,-0.855160892,0.00968442857,-0.518271267
33311186839166,36913,-0.184058934,-0.20598045,-1.41194201,-0.000982987927,-0.855160594,0.00968140736,-0.518271923
33311203513176,36929,-0.184067518,-0.205985099,-1.41194236,-0.000981794088,-0.855160594,0.00967690907,-0.518271983
33311220234270,36945,-0.184074104,-0.205987126,-1.41193712,-0.000975626754,-0.855155468,0.00968152378,-0.518280268
33311236883072,36962,-0.184083104,-0.205994904,-1.41193318,-0.000973474293,-0.855157316,0.00968249701,-0.518277228
33311253517134,36979,-0.184089899,-0.205999434,-1.41192889,-0.000978016411,-0.8551597,0.00967709254,-0.518273473
33311270169686,36995,-0.184089839,-0.206001788,-1.4119271,-0.000979159726,-0.855158806,0.00967409462,-0.518274903
33311286860780,37012,-0.184087202,-0.206003547,-1.41192639,-0.000972149719,-0.85515821,0.00967906322,-0.518275857
33311303504478,37029,-0.184076086,-0.206006199,-1.41191924,-0.000976872165,-0.855160296,0.00968188792,-0.51827234
33311321555624,37046,-0.18406108,-0.206011266,-1.41191089,-0.000987793203,-0.85516268,0.00968343858,-0.518268406
33311337084895,37061,-0.184054703,-0.206009775,-1.41190684,-0.000984236482,-0.855160475,0.00967756659,-0.518272161
33311353507499,37079,-0.184053779,-0.206008106,-1.41190743,-0.00097587856,-0.855159163,0.00967779011,-0.518274307
33311370198593,37095,-0.184053287,-0.206007659,-1.4119103,-0.000973966729,-0.855157077,0.00967902876,-0.518277526
33311386854947,37111,-0.18405664,-0.20599778,-1.41192472,-0.000976754352,-0.855160892,0.00967517775,-0.518271506
33311403517811,37127,-0.184057415,-0.205985904,-1.41193926,-0.00097743317,-0.855160952,0.00967590418,-0.518271446
33311420263593,37144,-0.184051603,-0.205979288,-1.41195345,-0.000966283842,-0.855161786,0.00967523456,-0.518270016
33311436851718,37161,-0.184043273,-0.205976382,-1.41197836,-0.000962728285,-0.855158627,0.0096787801,-0.518275201
33311453519113,37177,-0.184037164,-0.205975384,-1.4119972,-0.000967182161,-0.855161428,0.00967470184,-0.518270552
33311470171666,37194,-0.18402791,-0.205977067,-1.41199863,-0.000970365712,-0.855160713,0.00967535656,-0.518271744
33311486848645,37211,-0.184021011,-0.205977231,-1.41199827,-0.000959215977,-0.855159819,0.00967596471,-0.518273234
33311503528488,37227,-0.184020966,-0.205981776,-1.41200328,-0.000956005824,-0.855159402,0.00967218447,-0.518274009
33311520874061,37245,-0.184022009,-0.20599398,-1.41201162,-0.000968777167,-0.855161071,0.00967556145,-0.518271267
33311536847343,37260,-0.184025273,-0.205997288,-1.41201782,-0.000974224473,-0.855161667,0.00967950653,-0.518270135
33311553508228,37277,-0.184035316,-0.205991641,-1.41201901,-0.000960655045,-0.85516125,0.0096834749,-0.518270731
33311570173540,37294,-0.184044734,-0.205985129,-1.41201961,-0.000951838505,-0.855162144,0.00968330819,-0.5182693
33311586868124,37310,-0.184041992,-0.205980331,-1.41202092,-0.000955143478,-0.855163872,0.00967730302,-0.518266559
33311603510259,37326,-0.184036344,-0.205975533,-1.41202319,-0.000957286102,-0.855164051,0.00968159549,-0.518266261
33311620379113,37344,-0.184042946,-0.205966696,-1.41202343,-0.000948097615,-0.855159342,0.00968733989,-0.51827389
33311636847655,37360,-0.184053868,-0.205959469,-1.41202164,-0.000946842425,-0.855159342,0.00968778413,-0.51827383
33311653525624,37376,-0.184064269,-0.205953538,-1.41202641,-0.000947503606,-0.855162799,0.00969057344,-0.518268108
33311670191405,37392,-0.184065372,-0.20594649,-1.41201031,-0.000953682873,-0.85516417,0.00968925655,-0.518265903
33311686840207,37410,-0.184068203,-0.205937892,-1.41199195,-0.000949015608,-0.855161488,0.00968913548,-0.518270254
33311703502395,37426,-0.184082448,-0.205938429,-1.41199017,-0.000944158179,-0.855161846,0.00968830846,-0.518269658
33311720186092,37442,-0.184099421,-0.20594348,-1.41198456,-0.000953462732,-0.855161488,0.00968230423,-0.518270314
33311736896092,37460,-0.18411234,-0.205943912,-1.41198337,-0.000960448058,-0.855162561,0.0096826097,-0.518268704
33311753522186,37476,-0.184116036,-0.205943406,-1.41197622,-0.000950782909,-0.855161667,0.00967501383,-0.518270254
33311770181249,37492,-0.18412143,-0.205943912,-1.41197133,-0.000947691093,-0.855160296,0.00968312286,-0.51827234
33311786844686,37508,-0.184131593,-0.205951899,-1.41198468,-0.000952946721,-0.85516125,0.00968666095,-0.518270731
33311803553280,37526,-0.184141472,-0.205967322,-1.4120059,-0.000959047815,-0.855161846,0.0096944496,-0.518269658
33311820794061,37542,-0.184143782,-0.205962017,-1.4120121,-0.000954629446,-0.855159283,0.00969142467,-0.51827389
33311836844686,37558,-0.184140503,-0.205949157,-1.4120158,-0.000949748734,-0.855159819,0.00970086362,-0.518272758
33311853598488,37575,-0.184144706,-0.205938593,-1.4120189,-0.000955554307,-0.855163157,0.00969939306,-0.518267274
33311870179738,37592,-0.184157312,-0.205927595,-1.41201663,-0.000954995281,-0.855163276,0.0096973395,-0.518267155
33311886846509,37608,-0.184167713,-0.205915675,-1.41201258,-0.000953375711,-0.855161905,0.00969998259,-0.518269479
33311903505467,37624,-0.184170067,-0.205908224,-1.41199684,-0.000957901473,-0.855157197,0.00970934518,-0.518277049
33311920220363,37641,-0.184171423,-0.20590052,-1.41197097,-0.000965835294,-0.855154991,0.00970335118,-0.518280745
33311936840728,37658,-0.184178025,-0.205894902,-1.41195714,-0.000977414078,-0.855153084,0.00970161892,-0.518283963
33311953507603,37674,-0.184181094,-0.20590654,-1.41194904,-0.000982123311,-0.855150163,0.00970647857,-0.518288553
33311970209322,37691,-0.184188217,-0.205912471,-1.41194165,-0.000983145437,-0.855147719,0.00972048473,-0.518292427
33311986842655,37708,-0.184199542,-0.205903664,-1.41192746,-0.000982639729,-0.855148077,0.00972156134,-0.518291831
33312003518905,37724,-0.18420884,-0.20589751,-1.41191351,-0.000989966444,-0.855149269,0.00971945189,-0.518289864
33312020176926,37740,-0.18421495,-0.205900133,-1.41190135,-0.000987243606,-0.855146408,0.009720603,-0.518294513
33312036847811,37757,-0.184211805,-0.205929875,-1.41188729,-0.000986745581,-0.85514307,0.00972796232,-0.518299937
33312053523384,37774,-0.184217736,-0.205943272,-1.41187799,-0.000990419998,-0.85514766,0.00972070359,-0.518292427
33312070202342,37790,-0.184217289,-0.205945969,-1.41185951,-0.00100154884,-0.855150759,0.00971761346,-0.518287301
33312086880051,37807,-0.184219196,-0.2059457,-1.41183937,-0.00100059202,-0.855149567,0.00971289724,-0.518289447
33312103504530,37824,-0.184231818,-0.20595482,-1.41184342,-0.000996643561,-0.855147123,0.00971783791,-0.518293381
33312120180207,37840,-0.184242994,-0.205974251,-1.41185391,-0.000995895476,-0.855152011,0.00972052477,-0.518285215
33312136851040,37856,-0.184251994,-0.205984458,-1.41185224,-0.00100204966,-0.855154157,0.00971844234,-0.518281758
33312153511509,37873,-0.184249684,-0.205995768,-1.41184008,-0.00100180891,-0.855150878,0.00972178951,-0.518287063
33312170243488,37889,-0.184254587,-0.206000477,-1.41182923,-0.00100308959,-0.855149031,0.00972665101,-0.518290043
33312186842551,37906,-0.18425861,-0.206019044,-1.41182184,-0.00100470742,-0.855148435,0.00973224267,-0.518290937
33312203507707,37923,-0.184256881,-0.206046611,-1.41181707,-0.00101205427,-0.855149269,0.00972851366,-0.518289626
33312220191301,37939,-0.184261814,-0.206058428,-1.41181135,-0.00101469073,-0.855149388,0.00972990319,-0.518289447
33312236843019,37956,-0.184263468,-0.20607692,-1.41180742,-0.00101429073,-0.855149209,0.00973454583,-0.518289626
33312253569113,37972,-0.184271201,-0.206089646,-1.41180015,-0.00102451688,-0.855149031,0.00973600335,-0.518289745
33312270168644,37989,-0.184266806,-0.206095487,-1.41179442,-0.00102305447,-0.855151594,0.00972590409,-0.518285811
33312286841301,38005,-0.184256747,-0.20610249,-1.4117862,-0.00102176936,-0.855148077,0.00972787105,-0.518291533
33312303506561,38022,-0.184263051,-0.206105039,-1.41177487,-0.0010148884,-0.855141997,0.00973518007,-0.518301487
33312320423176,38039,-0.184268594,-0.206105232,-1.41176498,-0.00101239386,-0.855142057,0.00973770674,-0.518301368
33312336856769,38055,-0.184278116,-0.206107989,-1.41175735,-0.00101723231,-0.855141938,0.00973705295,-0.518301606
33312353507290,38071,-0.184277728,-0.206113264,-1.41176152,-0.00101697538,-0.855142772,0.00973103289,-0.518300235
33312370173436,38089,-0.184281886,-0.206119105,-1.41176212,-0.00100578403,-0.85514313,0.00973241217,-0.518299699
33312386839373,38105,-0.184287578,-0.20612292,-1.41174328,-0.00100519136,-0.855139554,0.0097356271,-0.51830554
33312403512811,38121,-0.184291318,-0.206125259,-1.4117229,-0.00101075904,-0.855141044,0.0097282026,-0.518303216
33312420331978,38137,-0.184293091,-0.206124619,-1.41171241,-0.00101084495,-0.855139792,0.00973237865,-0.518305242
