#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
162934932000,0.054328482,0.008522115,0.006391586,-9.859322437,-0.270544788,0.605733020
162935938000,0.053263218,0.008522115,0.007456851,-9.856928235,-0.277727393,0.605733020
162936944000,0.052197953,0.008522115,0.008522115,-9.849745630,-0.289698401,0.591367810
162937950000,0.053263218,0.007456851,0.009587380,-9.835380420,-0.282515796,0.584185205
162938956000,0.054328482,0.007456851,0.008522115,-9.840168823,-0.284909998,0.596156213
162939963000,0.054328482,0.007456851,0.006391586,-9.844957227,-0.304063611,0.608127222
162940969000,0.054328482,0.007456851,0.006391586,-9.849745630,-0.313640417,0.600944617
162941975000,0.054328482,0.007456851,0.007456851,-9.844957227,-0.299275208,0.588973608
162942981000,0.054328482,0.006391586,0.007456851,-9.830592017,-0.284909998,0.579396802
162943987000,0.053263218,0.005326322,0.007456851,-9.818621008,-0.287304199,0.560243188
162944993000,0.053263218,0.005326322,0.006391586,-9.799467395,-0.299275208,0.586579407
162945999000,0.053263218,0.005326322,0.007456851,-9.830592017,-0.287304199,0.615309827
162947005000,0.053263218,0.006391586,0.007456851,-9.878476050,-0.258573779,0.596156213
162948011000,0.054328482,0.006391586,0.008522115,-9.861716638,-0.272938989,0.577002600
162949017000,0.053263218,0.007456851,0.008522115,-9.854534033,-0.292092603,0.591367810
162950023000,0.053263218,0.008522115,0.008522115,-9.849745630,-0.280121594,0.608127222
162951030000,0.052197953,0.007456851,0.008522115,-9.840168823,-0.284909998,0.598550415
162952036000,0.052197953,0.005326322,0.008522115,-9.844957227,-0.292092603,0.584185205
162953042000,0.054328482,0.004261057,0.008522115,-9.861716638,-0.299275208,0.600944617
162954048000,0.055393747,0.006391586,0.009587380,-9.856928235,-0.311246216,0.620098230
162955054000,0.054328482,0.007456851,0.008522115,-9.830592017,-0.299275208,0.617704028
162956060000,0.054328482,0.007456851,0.008522115,-9.809044202,-0.299275208,0.615309827
162957066000,0.054328482,0.006391586,0.008522115,-9.804255798,-0.311246216,0.608127222
162958072000,0.054328482,0.006391586,0.010652644,-9.821015210,-0.311246216,0.598550415
162959078000,0.054328482,0.006391586,0.012783172,-9.825803613,-0.311246216,0.600944617
162960084000,0.054328482,0.007456851,0.011717908,-9.828197815,-0.330399829,0.593762012
162961090000,0.053263218,0.008522115,0.010652644,-9.825803613,-0.311246216,0.584185205
162962097000,0.051132689,0.008522115,0.009587380,-9.844957227,-0.296881006,0.593762012
162963103000,0.051132689,0.008522115,0.009587380,-9.835380420,-0.301669409,0.593762012
162964109000,0.052197953,0.009587380,0.009587380,-9.837774622,-0.280121594,0.584185205
162965115000,0.054328482,0.010652644,0.009587380,-9.856928235,-0.272938989,0.596156213
