#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
168469844361,1964,0.258114934,-0.266171694,-0.460402012,0.0300384033,-0.445122838,0.0237279814,0.894650936
168486775923,1982,0.258150399,-0.26616329,-0.460383892,0.0300488658,-0.44513008,0.0237522349,0.894646406
168507326288,2001,0.258173287,-0.266156793,-0.460365742,0.0300707445,-0.445131391,0.0237757824,0.89464438
168519943579,2013,0.258182704,-0.266157001,-0.460347742,0.0300797988,-0.445127308,0.0237888731,0.89464581
168536911756,2031,0.258198857,-0.266156942,-0.460324764,0.0300815199,-0.445115834,0.0238044541,0.894650996
168553739569,2048,0.258217096,-0.266144902,-0.460321069,0.030059889,-0.445115089,0.0237809159,0.894652724
168569942850,2064,0.258234203,-0.26613301,-0.460318118,0.0300334245,-0.44510588,0.0237645935,0.894658625
168586599985,2080,0.258253217,-0.26612395,-0.46032384,0.0300235841,-0.445106477,0.0237411223,0.894659281
168603271548,2097,0.258284539,-0.266122848,-0.460340917,0.0300353486,-0.445104539,0.0237454884,0.894659758
168619937381,2114,0.258303791,-0.266119868,-0.460352838,0.0300557669,-0.44510895,0.0237658266,0.894656301
168636693996,2130,0.258322716,-0.266114831,-0.460365802,0.0300764814,-0.445116907,0.0237943474,0.894650877
168653346808,2147,0.258345544,-0.266106814,-0.460379034,0.0300722122,-0.445115,0.0238138009,0.894651473
168669926652,2163,0.258351356,-0.266090482,-0.460380942,0.0300602186,-0.445114911,0.0237980522,0.894652307
168686634673,2179,0.258358389,-0.266067773,-0.460379899,0.0300531071,-0.445111871,0.0237782914,0.894654691
168703443735,2197,0.258359849,-0.266049951,-0.460383445,0.0300489049,-0.445108265,0.023791099,0.894656241
168719936652,2213,0.258378625,-0.266033411,-0.460405946,0.0300531071,-0.44510439,0.0238094553,0.894657493
168736602381,2230,0.258397222,-0.266017139,-0.460425228,0.0300638359,-0.445104718,0.0238200184,0.894656777
168753266287,2246,0.258417308,-0.266008139,-0.46042937,0.0300679114,-0.445104957,0.0238300003,0.894656241
168769958527,2263,0.258445263,-0.265997231,-0.460435867,0.0300699435,-0.445107102,0.023845965,0.894654691
168786622173,2279,0.258449346,-0.265986055,-0.460439533,0.0300617646,-0.445106477,0.0238506459,0.894655049
168803270142,2296,0.258452773,-0.265970498,-0.460450768,0.0300625823,-0.445126772,0.0238465127,0.894645095
168819936496,2312,0.258453429,-0.265960634,-0.460455894,0.0300703626,-0.445120811,0.0238686055,0.894647241
168836598996,2329,0.258446574,-0.265955806,-0.460463643,0.0300704036,-0.445123553,0.0238651335,0.894645989
168853391392,2345,0.258441329,-0.265949339,-0.460473657,0.0300594028,-0.445119679,0.0238575768,0.894648492
168869937485,2361,0.258444607,-0.265940875,-0.460472345,0.0300443079,-0.445113301,0.0238540843,0.894652128
168886606860,2379,0.258451849,-0.265929759,-0.460468829,0.0300436448,-0.445120752,0.0238377582,0.894648969
168903274360,2395,0.258456796,-0.265918732,-0.460465789,0.0300449375,-0.445106298,0.0238179471,0.894656658
168919932590,2411,0.258447468,-0.265912473,-0.460472345,0.0300459918,-0.445110708,0.0237869974,0.894655228
168936953110,2429,0.258437693,-0.265905321,-0.460477024,0.0300483741,-0.445104063,0.0237929765,0.894658267
168953276287,2445,0.258447587,-0.265893191,-0.460482478,0.0300455634,-0.445115685,0.0237978119,0.894652486
168969937746,2461,0.258463472,-0.265883297,-0.460490167,0.0300495047,-0.445110291,0.0238179527,0.894654512
