#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
564357168000,0.055393747,0.013848437,0.009587380,-10.591948145,0.373495459,-0.114921680
564358174000,0.055393747,0.013848437,0.009587380,-10.615890161,0.332794031,-0.016759412
564359180000,0.055393747,0.013848437,0.009587380,-10.670956799,0.330399829,0.028730420
564360186000,0.055393747,0.013848437,0.009587380,-10.656591589,0.430956299,-0.045489832
564361193000,0.055393747,0.013848437,0.009587380,-10.630255371,0.490811340,-0.043095630
564362199000,0.055393747,0.013848437,0.009587380,-10.606313354,0.440533105,0.033518823
564363205000,0.055393747,0.013848437,0.009587380,-10.658985791,0.366312854,0.023942017
564364211000,0.055393747,0.013848437,0.009587380,-10.666168396,0.337582434,-0.014365210
564365218000,0.055393747,0.013848437,0.009587380,-10.589553943,0.392649072,-0.074220251
564366224000,0.055393747,0.013848437,0.009587380,-10.522516296,0.464475122,-0.196324536
564367230000,0.055393747,0.013848437,0.009587380,-10.520122095,0.428562097,-0.222660754
564368236000,0.055393747,0.013848437,0.009587380,-10.575188733,0.351947644,-0.146046301
564369242000,0.055393747,0.013848437,0.009587380,-10.611101758,0.347159241,-0.067037646
564370249000,0.055393747,0.013848437,0.009587380,-10.599130750,0.416591089,-0.014365210
564371255000,0.055393747,0.013848437,0.009587380,-10.603919153,0.481234534,-0.021547815
564372261000,-0.010652644,-0.001065264,0.011717908,-10.606313354,0.466869324,-0.011971008
564373267000,-0.076699039,0.088416940,0.088416940,-10.551246716,0.435744702,-0.028730420
564374273000,-0.074568511,0.366450933,0.076699039,-10.496180078,0.495599744,-0.114921680
564375280000,-0.012783172,0.599743877,-0.002130529,-10.477026465,0.517147559,-0.181959326
564376286000,0.031957931,0.673247124,-0.052197953,-10.498574280,0.474051929,-0.227449158
564377292000,0.042610577,0.653007099,-0.059654804,-10.508151086,0.478840332,-0.253785376
564378298000,0.036218991,0.623179695,-0.051132689,-10.493785876,0.445321509,-0.241814368
564379304000,0.030892667,0.609331257,-0.044741102,-10.510545288,0.390254871,-0.227449158
564380310000,0.028762138,0.608265993,-0.044741102,-10.484209070,0.423773694,-0.299275208
564381317000,0.029827402,0.608265993,-0.047936895,-10.436325037,0.454898315,-0.414196887
564382323000,0.027696873,0.606135464,-0.049002160,-10.352527979,0.466869324,-0.502782349
564383329000,0.024501080,0.602939671,-0.050067424,-10.285490332,0.500388147,-0.557848987
564384335000,0.022370551,0.601874406,-0.049002160,-10.316614954,0.536301172,-0.598550415
564385341000,0.023435816,0.601874406,-0.046871631,-10.311826550,0.493205542,-0.598550415
564386347000,0.023435816,0.599743877,-0.045806367,-10.299855542,0.430956299,-0.553060583
564387354000,0.022370551,0.597613349,-0.045806367,-10.292672937,0.433350500,-0.550666382
564388360000,0.021305289,0.594417555,-0.045806367,-10.268730920,0.438138904,-0.696712683
564389366000,0.020240024,0.591221762,-0.046871631,-10.218452686,0.457292517,-0.818816968
564390372000,0.018109495,0.588025969,-0.045806367,-10.187328064,0.459686719,-0.816422766
564391378000,0.018109495,0.586960704,-0.043675842,-10.074800586,0.481234534,-0.847547388
564392384000,0.020240024,0.586960704,-0.040480049,-9.969455713,0.512359155,-0.957680664
564393391000,0.023435816,0.585895440,-0.038349520,-9.916783276,0.509964954,-1.010353101
564394397000,0.026631609,0.584830175,-0.036218991,-9.895235461,0.490811340,-0.952892261
564395403000,0.028762138,0.584830175,-0.034088460,-9.880870251,0.447715710,-0.955286462
564396409000,0.029827402,0.584830175,-0.030892667,-9.871293445,0.414196887,-0.995987891
564397415000,0.030892667,0.583764911,-0.028762138,-9.947907898,0.349553442,-1.019929907
564398421000,0.029827402,0.584830175,-0.027696873,-9.957484705,0.316034619,-1.046266125
564399428000,0.028762138,0.584830175,-0.027696873,-9.911994873,0.301669409,-1.082179150
564400434000,0.028762138,0.584830175,-0.028762138,-9.864110840,0.280121594,-1.149216797
564401440000,0.026631609,0.585895440,-0.028762138,-9.849745630,0.306457812,-1.242590662
