#host_mono_ns,seq,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
569858017436,1,0,0,0,0,0,0,0
569875100509,1,0,0,0,0,0,0,0
569891765145,1,0,0,0,0,0,0,0
569909310926,1,0,0,0,0,0,0,0
569927939936,1,0,0,0,0,0,0,0
569944042020,1,0,0,0,0,0,0,0
569966197332,1,0,0,0,0,0,0,0
569983128582,1,0,0,0,0,0,0,0
569992519468,1,0,0,0,0,0,0,0
570008828790,1,0,0,0,0,0,0,0
570024950197,1,0,0,0,0,0,0,0
570041664936,1,0,0,0,0,0,0,0
570058258530,1,0,0,0,0,0,0,0
570075025613,1,0,0,0,0,0,0,0
570091473738,1,0,0,0,0,0,0,0
570108137749,1,0,0,0,0,0,0,0
570125040197,1,0,0,0,0,0,0,0
570141460197,1,0,0,0,0,0,0,0
570158153165,1,0,0,0,0,0,0,0
570174786759,1,0,0,0,0,0,0,0
570191587124,1,0,0,0,0,0,0,0
570208349103,1,0,0,0,0,0,0,0
570225038061,1,0,0,0,0,0,0,0
570242107957,1,0,0,0,0,0,0,0
570258152957,1,0,0,0,0,0,0,0
570275311551,1,0,0,0,0,0,0,0
570291525092,1,0,0,0,0,0,0,0
570308139676,1,0,0,0,0,0,0,0
570325003738,1,0,0,0,0,0,0,0
570341698113,1,0,0,0,0,0,0,0
570358136447,1,0,0,0,0,0,0,0
570374788374,1,0,0,0,0,0,0,0
570391922697,1,0,0,0,0,0,0,0
570408127228,1,0,0,0,0,0,0,0
570424827384,1,0,0,0,0,0,0,0
570441454832,1,0,0,0,0,0,0,0
570458168113,1,0,0,0,0,0,0,0
570474784259,1,0,0,0,0,0,0,0
570491445249,1,0,0,0,0,0,0,0
570508114832,1,0,0,0,0,0,0,0
570524783009,1,0,0,0,0,0,0,0
570541693582,1,0,0,0,0,0,0,0
570558463061,16,0.00290578604,-0.0103274658,-0.00846218318,-0.060454987,0.000310754025,-0.0211385768,0.997947037
570574780926,33,0.00275523216,-0.0112796277,-0.00915138423,-0.065799959,0.000659330399,-0.0206232294,0.99761951
570591631707,49,0.00262622535,-0.0120976977,-0.00973111019,-0.0703601167,0.000841056404,-0.0200343728,0.997320116
570609106551,67,0.00246089324,-0.012910489,-0.0102969594,-0.0748673528,0.00106165337,-0.0192238726,0.997007668
570625232749,82,0.00230422616,-0.0135899596,-0.0107619725,-0.0786136612,0.00134750642,-0.0185334459,0.996731997
570641498217,100,0.00210390612,-0.01438706,-0.01129812,-0.0829832777,0.00178334641,-0.0177238844,0.996391773
570658121238,116,0.00193910673,-0.0148389898,-0.0115985535,-0.0854539499,0.00223755441,-0.0171493571,0.996192038
570674827853,133,0.00181263313,-0.0154433921,-0.0119931065,-0.0887306929,0.00262785819,-0.0167945437,0.995910585
570691476811,149,0.00171614811,-0.0159639344,-0.012328051,-0.0915379971,0.00299383979,-0.0166195296,0.995658398
570708122905,166,0.00164772198,-0.0161440298,-0.0124435872,-0.0925089344,0.0033692501,-0.0166208204,0.995567441
570724993894,182,0.00158844888,-0.0167133473,-0.0128026865,-0.09555839,0.00354245771,-0.0164806284,0.9952811
570741490821,198,0.00152851269,-0.0173831396,-0.0132187977,-0.099129416,0.0036635315,-0.0162801649,0.994934618
570758334103,216,0.00146087259,-0.0178320259,-0.0134943575,-0.101517111,0.00376565615,-0.0159661546,0.994698524
570774836342,232,0.00137680024,-0.0186494514,-0.0139879361,-0.105840646,0.00387555105,-0.0155847752,0.994253457
570792204363,249,0.00127005205,-0.0196570456,-0.0145830847,-0.111136973,0.00397922564,-0.0150428247,0.993683338
570808265769,265,0.0011475198,-0.0203501321,-0.0149846859,-0.114763267,0.00426622853,-0.0145823183,0.993276715
570824867749,282,0.0010253638,-0.0214389525,-0.0156010538,-0.120418042,0.00458935089,-0.0142210377,0.992610812
570841448374,298,0.000894453377,-0.022488907,-0.0161800608,-0.125834242,0.00495243957,-0.0138397366,0.991942406
570858118217,315,0.000782031566,-0.0232119635,-0.0165702663,-0.129543141,0.0054775821,-0.0137868747,0.991462827
570875066498,332,0.000618696213,-0.0243820474,-0.0171866938,-0.135510057,0.00607941905,-0.0135028129,0.990665317
570891463634,348,0.000435739756,-0.0255990326,-0.0178087242,-0.141672775,0.00670146849,-0.0130994515,0.989804208
570908224259,364,0.00029861927,-0.026659511,-0.018334996,-0.147004247,0.00729435822,-0.0130004399,0.989023566
570924875196,381,8.7428838e-05,-0.0282737426,-0.0191087276,-0.155059651,0.00789263193,-0.0123876128,0.987795889
570941442696,398,-0.000170044601,-0.0301235318,-0.0199555829,-0.164202571,0.00872934423,-0.0117780007,0.986317694
570958114207,414,-0.000410076231,-0.0318413265,-0.0207047835,-0.172611743,0.00994232576,-0.0118713723,0.984868288
570974776394,430,-0.000650066882,-0.033807002,-0.0215194374,-0.182143152,0.0108262049,-0.0115056997,0.983145118
570991445717,447,-0.000807847828,-0.0361581407,-0.0224364251,-0.193417102,0.0112650236,-0.0111903278,0.980988145
571008133582,464,-0.000886272639,-0.0389341936,-0.0234409571,-0.206566229,0.0113468161,-0.0110364566,0.978304565
571024783165,480,-0.00091386959,-0.0421103537,-0.0244889893,-0.221413732,0.0108839171,-0.010452983,0.975063205
571041499155,497,-0.000747792423,-0.0454985499,-0.0254922435,-0.23703362,0.00959003251,-0.0101631749,0.971400976
571058112696,514,-0.000523932278,-0.0484118685,-0.0262616314,-0.250301749,0.00808776356,-0.00991575234,0.968083322
571074776551,530,-0.000217013061,-0.0503327176,-0.0267227888,-0.258966237,0.00674658082,-0.010604267,0.965804636
571091446030,546,5.50113618e-05,-0.0512333214,-0.0269262269,-0.263002276,0.00550398743,-0.0110099008,0.964716673
571108453686,564,0.000353526324,-0.0506005809,-0.0267837048,-0.260142118,0.00424229773,-0.0114484094,0.965493143
571124798790,580,0.0005777888,-0.0498864278,-0.0266178064,-0.256915182,0.00305551547,-0.0113033615,0.966363013
571141461446,596,0.000607226044,-0.0487359315,-0.0263413787,-0.251726151,0.00185470795,-0.00923435763,0.967752695
571158131707,613,0.000590585172,-0.0465607643,-0.0257831551,-0.241848901,0.000764186436,-0.00691975001,0.970288992
