#t[ns],wx,wy,wz,ax,ay,az
147857522000,-0.446345765,-0.0958737909,-0.0170442299,-8.74362446,-0.318428821,-2.05661923
147858528000,-0.44741103,-0.0873516838,-0.0149137011,-8.82502732,-0.239420166,-2.10929166
147859535000,-0.448476294,-0.0777643038,-0.0159789655,-8.88727656,-0.220266553,-2.14999309
147860541000,-0.448476294,-0.0649811264,-0.0213052887,-8.85615194,-0.215478149,-2.26491477
147861547000,-0.446345765,-0.0490021599,-0.0276968733,-8.82742152,-0.296881006,-2.3056162
147862553000,-0.442084708,-0.0340884599,-0.0340884599,-8.8034795,-0.438138904,-2.22421334
147863559000,-0.439954179,-0.0202400243,-0.041545313,-8.71010564,-0.49081134,-2.09971486
147864565000,-0.43782365,-0.0117179078,-0.0479368955,-8.58800135,-0.514753357,-1.91536133
147865572000,-0.435693121,-0.0063915861,-0.0500674243,-8.49223329,-0.59136781,-1.7310078
147866578000,-0.433562592,-0.00532632218,-0.0511326888,-8.43237825,-0.687135876,-1.50116444
147867584000,-0.433562592,-0.0106526444,-0.0500674243,-8.34618699,-0.756567725,-1.34075293
147868590000,-0.436758385,-0.0170442299,-0.046871631,-8.24802472,-0.780509741,-1.37187755
147869596000,-0.442084708,-0.0245010799,-0.0436758419,-8.09479581,-0.799663354,-1.42933839
147870603000,-0.449541559,-0.0276968733,-0.041545313,-7.9367785,-0.818816968,-1.60411511
147871609000,-0.460194203,-0.0276968733,-0.0404800486,-7.76679019,-0.818816968,-1.8794483
147872615000,-0.469781583,-0.0223705511,-0.0383495197,-7.59919607,-0.797269153,-2.08534965
147873621000,-0.478303698,-0.0117179078,-0.0351537264,-7.48427439,-0.775721338,-2.20505973
147874627000,-0.48576055,0.00213052874,-0.0298274021,-7.43160195,-0.790086548,-2.26252057
147875633000,-0.492152136,0.0159789655,-0.0234358155,-7.41005414,-0.782903943,-2.27209738
147876640000,-0.496413194,0.0287621377,-0.0170442299,-7.3597759,-0.809240161,-2.20984813
147877646000,-0.500674252,0.0404800486,-0.0106526444,-7.32386288,-0.794874951,-2.19787712
147878652000,-0.500674252,0.0500674243,-0.00426105748,-7.30710347,-0.768538733,-2.23857855
147879658000,-0.500674252,0.0596548043,0.00106526437,-7.30470927,-0.780509741,-2.26252057
147880664000,-0.500674252,0.0724379817,0.00745685053,-7.26640204,-0.699106885,-2.31998141
147881670000,-0.501739516,0.0862864193,0.0138484366,-7.18499918,-0.656011255,-2.3104046
147882677000,-0.502804781,0.101200113,0.0213052887,-7.15626876,-0.708683691,-2.20984813
147883683000,-0.502804781,0.116113815,0.0287621377,-7.15866296,-0.7206547,-2.14520469
147884689000,-0.503870045,0.131027517,0.0372842553,-7.2089412,-0.701501086,-2.08295544
147885695000,-0.502804781,0.14168017,0.046871631,-7.24964263,-0.74938512,-1.97761057
147886701000,-0.501739516,0.15126755,0.0553937465,-7.30949767,-0.787692346,-1.93690914
147887708000,-0.502804781,0.158724401,0.0628505976,-7.29752666,-0.758961926,-1.97761057
147888714000,-0.502804781,0.167246516,0.0703074528,-7.25203683,-0.797269153,-2.03746561
147889720000,-0.500674252,0.177899144,0.0777643038,-7.24724843,-0.802057556,-2.11408007
147890726000,-0.498543723,0.189617053,0.0852211549,-7.24485422,-0.780509741,-2.14999309
147891732000,-0.498543723,0.202400226,0.0916127332,-7.28794985,-0.840364783,-2.20027133
147892738000,-0.497478458,0.214118135,0.0980043198,-7.29513246,-0.878672009,-2.24097275
147893745000,-0.495347929,0.225836044,0.104395906,-7.29273826,-0.890643018,-2.20027133
147894751000,-0.493217401,0.238619217,0.110787493,-7.34062229,-0.919373438,-2.18590612
147895757000,-0.491086872,0.250337126,0.11717908,-7.40526573,-0.984016882,-2.19787712
147896763000,-0.490021607,0.259924506,0.122505402,-7.43639036,-1.02471831,-2.13802208
147897769000,-0.488956343,0.27057715,0.12676646,-7.45075557,-0.976834277,-2.13562788
147898776000,-0.487891078,0.281229811,0.131027517,-7.48188019,-1.00077629,-2.19069452
147899782000,-0.48576055,0.290817191,0.136353839,-7.52976422,-1.02232411,-2.27927998
147900788000,-0.483630021,0.301469835,0.140614906,-7.54173523,-1.01992991,-2.34631763
147901794000,-0.482564756,0.313187744,0.144875963,-7.59440767,-1.10612117,-2.33674082
147902800000,-0.482564756,0.324905653,0.147006492,-7.6494743,-1.1563994,-2.41814368
147903806000,-0.482564756,0.338754091,0.149137021,-7.74045397,-1.21625444,-2.46602771
147904813000,-0.480434227,0.351537231,0.150202285,-7.83861624,-1.27610948,-2.49475813
