#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
100486918000,0,0,0,-7.15626876,1.03668932,-7.19457599
100487924000,0,0,0,-7.15148036,1.0031705,-7.17302817
100488931000,0,0,0,-7.17542238,1.01992991,-7.18978759
100489937000,0,0,0,-7.16823977,1.05105453,-7.21851801
100490943000,0,0,0,-7.17063397,1.03908352,-7.206547
100491950000,0,0,0,-7.18021078,1.04387192,-7.2041528
100492956000,0,0,0,-7.16105717,1.05105453,-7.2113354
100493962000,0,0,0,-7.13711515,1.06063134,-7.20175859
100494968000,0,0,0,-7.15626876,1.05584293,-7.2089412
100495975000,0,0,0,-7.16584557,1.03668932,-7.23527742
100496981000,0,0,0,-7.13711515,1.04866033,-7.2137296
100497987000,0,0,0,-7.11317313,1.06781394,-7.19697019
100498994000,0,0,0,-7.12035574,1.07020814,-7.2089412
100500000000,0,0,0,-7.10838473,1.07260234,-7.21851801
100501006000,0,0,0,-7.12753834,1.04866033,-7.15866296
100502012000,-0.0149137011,-0.0127831722,0.0149137011,-7.13472095,1.05584293,-7.14669196
100503019000,-0.0617853331,-0.0596548043,0.0916127332,-7.09641372,1.07020814,-7.22091221
100504025000,-0.0181094954,-0.0511326888,0.11717908,-7.09162532,1.06781394,-7.22570061
100505031000,0.0596548043,-0.00958737992,0.0894822043,-7.11317313,1.07739075,-7.23288322
100506037000,0.0990695842,0.0159789655,0.0628505976,-7.13232675,1.07499655,-7.22570061
100507043000,0.0990695842,0.0191747598,0.0564590109,-7.12993254,1.04866033,-7.21851801
100508050000,0.0894822043,0.0159789655,0.0607200687,-7.13711515,1.05584293,-7.21851801
100509056000,0.083090626,0.0149137011,0.0649811264,-7.14190355,1.08457335,-7.24006582
100510062000,0.0820253616,0.0170442299,0.0660463909,-7.13232675,1.06302554,-7.24485422
100511068000,0.0809600971,0.0191747598,0.0660463909,-7.13711515,1.06063134,-7.24485422
100512075000,0.0788295683,0.0213052887,0.0660463909,-7.14669196,1.03429512,-7.24964263
100513081000,0.0766990394,0.0223705511,0.0660463909,-7.13472095,1.0079589,-7.24485422
100514087000,0.0724379817,0.0234358155,0.0660463909,-7.14190355,1.02711251,-7.25682523
100515093000,0.0703074528,0.0234358155,0.0660463909,-7.15387456,1.01992991,-7.26879624
100516100000,0.0671116553,0.0234358155,0.0660463909,-7.13472095,1.0079589,-7.27597885
100517106000,0.0649811264,0.0255663444,0.0660463909,-7.12753834,1.01753571,-7.25682523
100518112000,0.0628505976,0.0266316088,0.0671116553,-7.15148036,1.02232411,-7.24246002
100519118000,0.0607200687,0.0266316088,0.0681769197,-7.18499918,1.0031705,-7.24006582
