#seq,cam,ts_ns,file
0,0,87854683185000,c0_000000.gray
0,2,87854683196000,c2_000000.gray
1,0,87854702183000,c0_000001.gray
1,2,87854702196000,c2_000001.gray
2,0,87854716586000,c0_000002.gray
2,2,87854716645000,c2_000002.gray
3,0,87854735522000,c0_000003.gray
3,2,87854735534000,c2_000003.gray
4,0,87854749856000,c0_000004.gray
4,2,87854749869000,c2_000004.gray
5,0,87854768857000,c0_000005.gray
5,2,87854768870000,c2_000005.gray
6,0,87854783192000,c0_000006.gray
6,2,87854783209000,c2_000006.gray
7,0,87854802186000,c0_000007.gray
7,2,87854802201000,c2_000007.gray
13,0,87854983186000,c0_000013.gray
13,2,87854983200000,c2_000013.gray
20,0,87855002260000,c0_000020.gray
20,2,87855002314000,c2_000020.gray
25,0,87855016524000,c0_000025.gray
25,2,87855016538000,c2_000025.gray
32,0,87855035519000,c0_000032.gray
32,2,87855035534000,c2_000032.gray
37,0,87855049858000,c0_000037.gray
37,2,87855049870000,c2_000037.gray
43,0,87855068859000,c0_000043.gray
43,2,87855068877000,c2_000043.gray
48,0,87855083193000,c0_000048.gray
48,2,87855083205000,c2_000048.gray
56,0,87855102190000,c0_000056.gray
56,2,87855102208000,c2_000056.gray
62,0,87855116528000,c0_000062.gray
62,2,87855116545000,c2_000062.gray
70,0,87855135523000,c0_000070.gray
70,2,87855135539000,c2_000070.gray
76,0,87855149860000,c0_000076.gray
76,2,87855149878000,c2_000076.gray
84,0,87855168853000,c0_000084.gray
84,2,87855168869000,c2_000084.gray
89,2,87855183197000,c2_000089.gray
90,0,87855183187000,c0_000090.gray
98,0,87855202185000,c0_000098.gray
98,2,87855202199000,c2_000098.gray
103,0,87855216523000,c0_000103.gray
103,2,87855216537000,c2_000103.gray
111,0,87855235519000,c0_000111.gray
111,2,87855235533000,c2_000111.gray
117,0,87855249855000,c0_000117.gray
117,2,87855249870000,c2_000117.gray
125,0,87855268852000,c0_000125.gray
125,2,87855268870000,c2_000125.gray
131,0,87855283188000,c0_000131.gray
131,2,87855283197000,c2_000131.gray
139,0,87855302186000,c0_000139.gray
139,2,87855302199000,c2_000139.gray
144,0,87855316523000,c0_000144.gray
144,2,87855316535000,c2_000144.gray
152,0,87855335558000,c0_000152.gray
152,2,87855335649000,c2_000152.gray
155,0,87855349871000,c0_000155.gray
155,2,87855349893000,c2_000155.gray
163,0,87855368859000,c0_000163.gray
163,2,87855368874000,c2_000163.gray
169,0,87855383257000,c0_000169.gray
169,2,87855383306000,c2_000169.gray
176,0,87855402190000,c0_000176.gray
176,2,87855402205000,c2_000176.gray
182,0,87855416527000,c0_000182.gray
182,2,87855416540000,c2_000182.gray
190,0,87855435525000,c0_000190.gray
190,2,87855435541000,c2_000190.gray
196,0,87855449861000,c0_000196.gray
196,2,87855449874000,c2_000196.gray
204,0,87855468861000,c0_000204.gray
204,2,87855468875000,c2_000204.gray
209,0,87855483195000,c0_000209.gray
209,2,87855483211000,c2_000209.gray
217,0,87855502187000,c0_000217.gray
217,2,87855502201000,c2_000217.gray
223,0,87855516522000,c0_000223.gray
223,2,87855516534000,c2_000223.gray
231,0,87855535521000,c0_000231.gray
231,2,87855535534000,c2_000231.gray
237,0,87855549860000,c0_000237.gray
237,2,87855549875000,c2_000237.gray
245,0,87855568855000,c0_000245.gray
245,2,87855568869000,c2_000245.gray
251,0,87855583192000,c0_000251.gray
251,2,87855583206000,c2_000251.gray
259,0,87855602188000,c0_000259.gray
259,2,87855602201000,c2_000259.gray
265,0,87855616524000,c0_000265.gray
265,2,87855616539000,c2_000265.gray
273,0,87855635521000,c0_000273.gray
273,2,87855635535000,c2_000273.gray
278,0,87855649859000,c0_000278.gray
278,2,87855649873000,c2_000278.gray
286,0,87855668854000,c0_000286.gray
286,2,87855668868000,c2_000286.gray
291,0,87855683242000,c0_000291.gray
291,2,87855683272000,c2_000291.gray
298,0,87855702223000,c0_000298.gray
298,2,87855702266000,c2_000298.gray
304,0,87855716572000,c0_000304.gray
304,2,87855716617000,c2_000304.gray
311,0,87855735552000,c0_000311.gray
311,2,87855735652000,c2_000311.gray
316,0,87855749865000,c0_000316.gray
316,2,87855749882000,c2_000316.gray
324,0,87855768860000,c0_000324.gray
324,2,87855768873000,c2_000324.gray
330,0,87855783199000,c0_000330.gray
330,2,87855783218000,c2_000330.gray
337,0,87855802196000,c0_000337.gray
337,2,87855802214000,c2_000337.gray
343,0,87855816531000,c0_000343.gray
343,2,87855816547000,c2_000343.gray
351,0,87855835523000,c0_000351.gray
351,2,87855835537000,c2_000351.gray
357,0,87855849858000,c0_000357.gray
357,2,87855849870000,c2_000357.gray
365,0,87855868857000,c0_000365.gray
365,2,87855868869000,c2_000365.gray
371,0,87855883192000,c0_000371.gray
371,2,87855883206000,c2_000371.gray
379,0,87855902189000,c0_000379.gray
379,2,87855902203000,c2_000379.gray
385,0,87855916526000,c0_000385.gray
385,2,87855916540000,c2_000385.gray
393,0,87855935522000,c0_000393.gray
393,2,87855935534000,c2_000393.gray
398,0,87855949859000,c0_000398.gray
398,2,87855949871000,c2_000398.gray
406,0,87855968857000,c0_000406.gray
406,2,87855968871000,c2_000406.gray
412,0,87855983236000,c0_000412.gray
412,2,87855983248000,c2_000412.gray
420,0,87856002189000,c0_000420.gray
420,2,87856002202000,c2_000420.gray
424,0,87856016569000,c0_000424.gray
424,2,87856016606000,c2_000424.gray
430,0,87856035523000,c0_000430.gray
430,2,87856035535000,c2_000430.gray
436,0,87856049864000,c0_000436.gray
436,2,87856049878000,c2_000436.gray
444,0,87856068910000,c0_000444.gray
444,2,87856068965000,c2_000444.gray
447,0,87856083198000,c0_000447.gray
447,2,87856083212000,c2_000447.gray
455,0,87856102198000,c0_000455.gray
455,2,87856102215000,c2_000455.gray
460,0,87856116534000,c0_000460.gray
460,2,87856116552000,c2_000460.gray
468,0,87856135531000,c0_000468.gray
468,2,87856135548000,c2_000468.gray
474,0,87856149866000,c0_000474.gray
474,2,87856149882000,c2_000474.gray
482,0,87856168859000,c0_000482.gray
482,2,87856168873000,c2_000482.gray
487,0,87856183194000,c0_000487.gray
487,2,87856183209000,c2_000487.gray
496,0,87856202191000,c0_000496.gray
496,2,87856202204000,c2_000496.gray
501,0,87856216529000,c0_000501.gray
501,2,87856216543000,c2_000501.gray
509,0,87856235523000,c0_000509.gray
509,2,87856235538000,c2_000509.gray
515,0,87856249861000,c0_000515.gray
515,2,87856249875000,c2_000515.gray
523,0,87856268901000,c0_000523.gray
523,2,87856268914000,c2_000523.gray
529,0,87856283196000,c0_000529.gray
529,2,87856283210000,c2_000529.gray
537,0,87856302191000,c0_000537.gray
537,2,87856302206000,c2_000537.gray
542,0,87856316529000,c0_000542.gray
542,2,87856316545000,c2_000542.gray
550,0,87856335525000,c0_000550.gray
550,2,87856335539000,c2_000550.gray
556,0,87856349861000,c0_000556.gray
556,2,87856349875000,c2_000556.gray
563,0,87856368859000,c0_000563.gray
563,2,87856368873000,c2_000563.gray
569,0,87856383197000,c0_000569.gray
569,2,87856383207000,c2_000569.gray
577,0,87856402192000,c0_000577.gray
577,2,87856402204000,c2_000577.gray
583,0,87856416551000,c0_000583.gray
583,2,87856416655000,c2_000583.gray
590,0,87856435533000,c0_000590.gray
590,2,87856435551000,c2_000590.gray
596,0,87856449875000,c0_000596.gray
596,2,87856449892000,c2_000596.gray
604,0,87856468867000,c0_000604.gray
604,2,87856468885000,c2_000604.gray
609,0,87856483201000,c0_000609.gray
609,2,87856483212000,c2_000609.gray
617,0,87856502199000,c0_000617.gray
617,2,87856502215000,c2_000617.gray
623,0,87856516529000,c0_000623.gray
623,2,87856516541000,c2_000623.gray
631,0,87856535527000,c0_000631.gray
631,2,87856535539000,c2_000631.gray
637,0,87856549861000,c0_000637.gray
637,2,87856549871000,c2_000637.gray
645,0,87856568861000,c0_000645.gray
645,2,87856568876000,c2_000645.gray
651,0,87856583196000,c0_000651.gray
651,2,87856583209000,c2_000651.gray
659,0,87856602215000,c0_000659.gray
659,2,87856602228000,c2_000659.gray
664,0,87856616529000,c0_000664.gray
664,2,87856616542000,c2_000664.gray
672,0,87856635540000,c0_000672.gray
672,2,87856635553000,c2_000672.gray
678,0,87856649956000,c0_000678.gray
678,2,87856649968000,c2_000678.gray
686,0,87856668862000,c0_000686.gray
686,2,87856668878000,c2_000686.gray
691,0,87856683198000,c0_000691.gray
691,2,87856683212000,c2_000691.gray
698,0,87856702238000,c0_000698.gray
698,2,87856702300000,c2_000698.gray
703,0,87856716531000,c0_000703.gray
703,2,87856716544000,c2_000703.gray
711,0,87856735528000,c0_000711.gray
711,2,87856735542000,c2_000711.gray
715,0,87856749899000,c0_000715.gray
715,2,87856749947000,c2_000715.gray
721,0,87856768866000,c0_000721.gray
721,2,87856768879000,c2_000721.gray
727,0,87856783203000,c0_000727.gray
727,2,87856783221000,c2_000727.gray
734,0,87856802202000,c0_000734.gray
734,2,87856802218000,c2_000734.gray
740,0,87856816537000,c0_000740.gray
740,2,87856816554000,c2_000740.gray
748,0,87856835533000,c0_000748.gray
748,2,87856835551000,c2_000748.gray
754,0,87856849865000,c0_000754.gray
754,2,87856849880000,c2_000754.gray
762,0,87856868863000,c0_000762.gray
762,2,87856868877000,c2_000762.gray
768,0,87856883199000,c0_000768.gray
768,2,87856883214000,c2_000768.gray
776,0,87856902194000,c0_000776.gray
776,2,87856902208000,c2_000776.gray
782,0,87856916547000,c0_000782.gray
782,2,87856916560000,c2_000782.gray
790,0,87856935528000,c0_000790.gray
790,2,87856935540000,c2_000790.gray
795,0,87856949866000,c0_000795.gray
795,2,87856949878000,c2_000795.gray
803,0,87856968864000,c0_000803.gray
803,2,87856968879000,c2_000803.gray
807,0,87856983202000,c0_000807.gray
807,2,87856983217000,c2_000807.gray
815,0,87857002196000,c0_000815.gray
815,2,87857002210000,c2_000815.gray
821,0,87857016532000,c0_000821.gray
821,2,87857016544000,c2_000821.gray
829,0,87857035572000,c0_000829.gray
829,2,87857035588000,c2_000829.gray
832,0,87857049869000,c0_000832.gray
832,2,87857049885000,c2_000832.gray
840,0,87857068865000,c0_000840.gray
840,2,87857068877000,c2_000840.gray
845,0,87857083260000,c0_000845.gray
845,2,87857083321000,c2_000845.gray
852,0,87857102202000,c0_000852.gray
852,2,87857102217000,c2_000852.gray
858,0,87857116539000,c0_000858.gray
858,2,87857116551000,c2_000858.gray
866,0,87857135537000,c0_000866.gray
866,2,87857135553000,c2_000866.gray
871,0,87857149872000,c0_000871.gray
871,2,87857149884000,c2_000871.gray
879,0,87857168867000,c0_000879.gray
879,2,87857168883000,c2_000879.gray
885,0,87857183205000,c0_000885.gray
885,2,87857183221000,c2_000885.gray
893,0,87857202197000,c0_000893.gray
893,2,87857202212000,c2_000893.gray
899,0,87857216534000,c0_000899.gray
899,2,87857216546000,c2_000899.gray
907,0,87857235530000,c0_000907.gray
907,2,87857235542000,c2_000907.gray
913,0,87857249867000,c0_000913.gray
913,2,87857249881000,c2_000913.gray
921,0,87857268865000,c0_000921.gray
921,2,87857268877000,c2_000921.gray
927,0,87857283233000,c0_000927.gray
927,2,87857283264000,c2_000927.gray
935,0,87857302198000,c0_000935.gray
935,2,87857302212000,c2_000935.gray
940,0,87857316534000,c0_000940.gray
940,2,87857316549000,c2_000940.gray
948,0,87857335532000,c0_000948.gray
948,2,87857335546000,c2_000948.gray
954,0,87857349868000,c0_000954.gray
954,2,87857349882000,c2_000954.gray
962,0,87857368874000,c0_000962.gray
962,2,87857368887000,c2_000962.gray
966,0,87857383264000,c0_000966.gray
966,2,87857383335000,c2_000966.gray
972,0,87857402198000,c0_000972.gray
972,2,87857402217000,c2_000972.gray
978,0,87857416539000,c0_000978.gray
978,2,87857416555000,c2_000978.gray
984,0,87857435536000,c0_000984.gray
984,2,87857435552000,c2_000984.gray
989,0,87857449875000,c0_000989.gray
989,2,87857449894000,c2_000989.gray
997,0,87857468871000,c0_000997.gray
997,2,87857468883000,c2_000997.gray
1003,0,87857483209000,c0_001003.gray
1003,2,87857483226000,c2_001003.gray
1011,0,87857502206000,c0_001011.gray
1011,2,87857502224000,c2_001011.gray
1017,0,87857516540000,c0_001017.gray
1017,2,87857516557000,c2_001017.gray
1024,0,87857535532000,c0_001024.gray
1024,2,87857535544000,c2_001024.gray
1030,0,87857549869000,c0_001030.gray
1030,2,87857549882000,c2_001030.gray
1038,0,87857568867000,c0_001038.gray
1038,2,87857568881000,c2_001038.gray
1044,0,87857583203000,c0_001044.gray
1044,2,87857583217000,c2_001044.gray
1052,0,87857602198000,c0_001052.gray
1052,2,87857602212000,c2_001052.gray
1058,0,87857616534000,c0_001058.gray
1058,2,87857616548000,c2_001058.gray
1066,0,87857635533000,c0_001066.gray
1066,2,87857635546000,c2_001066.gray
1072,0,87857649870000,c0_001072.gray
1072,2,87857649884000,c2_001072.gray
1080,0,87857668864000,c0_001080.gray
1080,2,87857668873000,c2_001080.gray
1085,0,87857683204000,c0_001085.gray
1085,2,87857683219000,c2_001085.gray
1093,0,87857702198000,c0_001093.gray
1093,2,87857702213000,c2_001093.gray
1098,0,87857716537000,c0_001098.gray
1098,2,87857716551000,c2_001098.gray
1104,0,87857735533000,c0_001104.gray
1104,2,87857735547000,c2_001104.gray
1110,0,87857749873000,c0_001110.gray
1110,2,87857749889000,c2_001110.gray
1117,0,87857768866000,c0_001117.gray
1117,2,87857768880000,c2_001117.gray
1123,0,87857783209000,c0_001123.gray
1123,2,87857783227000,c2_001123.gray
1131,0,87857802206000,c0_001131.gray
1131,2,87857802218000,c2_001131.gray
1137,0,87857816544000,c0_001137.gray
1137,2,87857816560000,c2_001137.gray
1144,0,87857835537000,c0_001144.gray
1144,2,87857835550000,c2_001144.gray
1150,0,87857849874000,c0_001150.gray
1150,2,87857849888000,c2_001150.gray
1158,0,87857868872000,c0_001158.gray
1158,2,87857868889000,c2_001158.gray
1164,0,87857883207000,c0_001164.gray
1164,2,87857883223000,c2_001164.gray
1172,0,87857902204000,c0_001172.gray
1172,2,87857902219000,c2_001172.gray
1178,0,87857916538000,c0_001178.gray
1178,2,87857916551000,c2_001178.gray
1186,0,87857935534000,c0_001186.gray
1186,2,87857935547000,c2_001186.gray
1192,0,87857949871000,c0_001192.gray
1192,2,87857949884000,c2_001192.gray
1200,0,87857968867000,c0_001200.gray
1200,2,87857968881000,c2_001200.gray
1205,0,87857983206000,c0_001205.gray
1205,2,87857983221000,c2_001205.gray
1213,0,87858002212000,c0_001213.gray
1213,2,87858002227000,c2_001213.gray
1219,0,87858016538000,c0_001219.gray
1219,2,87858016555000,c2_001219.gray
1227,0,87858035536000,c0_001227.gray
1227,2,87858035551000,c2_001227.gray
1233,0,87858049872000,c0_001233.gray
1233,2,87858049885000,c2_001233.gray
1240,0,87858068868000,c0_001240.gray
1240,2,87858068883000,c2_001240.gray
1246,0,87858083210000,c0_001246.gray
1246,2,87858083226000,c2_001246.gray
1252,0,87858102204000,c0_001252.gray
1252,2,87858102219000,c2_001252.gray
1257,0,87858116545000,c0_001257.gray
1257,2,87858116563000,c2_001257.gray
1265,0,87858135548000,c0_001265.gray
1265,2,87858135559000,c2_001265.gray
1270,0,87858149876000,c0_001270.gray
1270,2,87858149888000,c2_001270.gray
1278,0,87858168874000,c0_001278.gray
1278,2,87858168889000,c2_001278.gray
1284,0,87858183210000,c0_001284.gray
1284,2,87858183226000,c2_001284.gray
1292,0,87858202208000,c0_001292.gray
1292,2,87858202225000,c2_001292.gray
1298,0,87858216539000,c0_001298.gray
1298,2,87858216553000,c2_001298.gray
1306,0,87858235538000,c0_001306.gray
1306,2,87858235552000,c2_001306.gray
1312,0,87858249873000,c0_001312.gray
1312,2,87858249887000,c2_001312.gray
1320,0,87858268869000,c0_001320.gray
1320,2,87858268883000,c2_001320.gray
1326,0,87858283209000,c0_001326.gray
1326,2,87858283226000,c2_001326.gray
1334,0,87858302244000,c0_001334.gray
1334,2,87858302308000,c2_001334.gray
1339,0,87858316541000,c0_001339.gray
1339,2,87858316554000,c2_001339.gray
1347,0,87858335536000,c0_001347.gray
1347,2,87858335551000,c2_001347.gray
1353,0,87858349873000,c0_001353.gray
1353,2,87858349891000,c2_001353.gray
1361,0,87858368869000,c0_001361.gray
1361,2,87858368882000,c2_001361.gray
1367,0,87858383208000,c0_001367.gray
1367,2,87858383222000,c2_001367.gray
1374,0,87858402204000,c0_001374.gray
1374,2,87858402217000,c2_001374.gray
1380,0,87858416541000,c0_001380.gray
1380,2,87858416555000,c2_001380.gray
1387,0,87858435583000,c0_001387.gray
1387,2,87858435672000,c2_001387.gray
1390,0,87858449878000,c0_001390.gray
1390,2,87858449891000,c2_001390.gray
1398,0,87858468877000,c0_001398.gray
1398,2,87858468889000,c2_001398.gray
1404,0,87858483216000,c0_001404.gray
1404,2,87858483236000,c2_001404.gray
1411,0,87858502212000,c0_001411.gray
1411,2,87858502230000,c2_001411.gray
1417,0,87858516547000,c0_001417.gray
1417,2,87858516564000,c2_001417.gray
1425,0,87858535544000,c0_001425.gray
1425,2,87858535561000,c2_001425.gray
1431,0,87858549888000,c0_001431.gray
1431,2,87858549874000,c2_001431.gray
1439,0,87858568887000,c0_001439.gray
1439,2,87858568872000,c2_001439.gray
1445,0,87858583226000,c0_001445.gray
1445,2,87858583211000,c2_001445.gray
1453,0,87858602219000,c0_001453.gray
1453,2,87858602205000,c2_001453.gray
1459,0,87858616549000,c0_001459.gray
1459,2,87858616540000,c2_001459.gray
1466,0,87858635552000,c0_001466.gray
1466,2,87858635539000,c2_001466.gray
1472,0,87858649888000,c0_001472.gray
1472,2,87858649874000,c2_001472.gray
1480,0,87858668885000,c0_001480.gray
1480,2,87858668873000,c2_001480.gray
1486,0,87858683248000,c0_001486.gray
1486,2,87858683235000,c2_001486.gray
1493,0,87858702217000,c0_001493.gray
1493,2,87858702205000,c2_001493.gray
1499,0,87858716556000,c0_001499.gray
1499,2,87858716542000,c2_001499.gray
1505,0,87858735632000,c0_001505.gray
1505,2,87858735613000,c2_001505.gray
1510,0,87858749912000,c0_001510.gray
1510,2,87858749898000,c2_001510.gray
1518,0,87858768888000,c0_001518.gray
