#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
100000486918000,0,0,0,-7.15626876,1.03668932,-7.19457599
100000487924000,0,0,0,-7.15148036,1.0031705,-7.17302817
100000488931000,0,0,0,-7.17542238,1.01992991,-7.18978759
100000489937000,0,0,0,-7.16823977,1.05105453,-7.21851801
100000490943000,0,0,0,-7.17063397,1.03908352,-7.206547
100000491950000,0,0,0,-7.18021078,1.04387192,-7.2041528
100000492956000,0,0,0,-7.16105717,1.05105453,-7.2113354
100000493962000,0,0,0,-7.13711515,1.06063134,-7.20175859
100000494968000,0,0,0,-7.15626876,1.05584293,-7.2089412
100000495975000,0,0,0,-7.16584557,1.03668932,-7.23527742
100000496981000,0,0,0,-7.13711515,1.04866033,-7.2137296
100000497987000,0,0,0,-7.11317313,1.06781394,-7.19697019
100000498994000,0,0,0,-7.12035574,1.07020814,-7.2089412
100000500000000,0,0,0,-7.10838473,1.07260234,-7.21851801
100000501006000,0,0,0,-7.12753834,1.04866033,-7.15866296
100000502012000,-0.0149137011,-0.0127831722,0.0149137011,-7.13472095,1.05584293,-7.14669196
100000503019000,-0.0617853331,-0.0596548043,0.0916127332,-7.09641372,1.07020814,-7.22091221
100000504025000,-0.0181094954,-0.0511326888,0.11717908,-7.09162532,1.06781394,-7.22570061
100000505031000,0.0596548043,-0.00958737992,0.0894822043,-7.11317313,1.07739075,-7.23288322
100000506037000,0.0990695842,0.0159789655,0.0628505976,-7.13232675,1.07499655,-7.22570061
100000507043000,0.0990695842,0.0191747598,0.0564590109,-7.12993254,1.04866033,-7.21851801
100000508050000,0.0894822043,0.0159789655,0.0607200687,-7.13711515,1.05584293,-7.21851801
100000509056000,0.083090626,0.0149137011,0.0649811264,-7.14190355,1.08457335,-7.24006582
100000510062000,0.0820253616,0.0170442299,0.0660463909,-7.13232675,1.06302554,-7.24485422
100000511068000,0.0809600971,0.0191747598,0.0660463909,-7.13711515,1.06063134,-7.24485422
100000512075000,0.0788295683,0.0213052887,0.0660463909,-7.14669196,1.03429512,-7.24964263
100000513081000,0.0766990394,0.0223705511,0.0660463909,-7.13472095,1.0079589,-7.24485422
100000514087000,0.0724379817,0.0234358155,0.0660463909,-7.14190355,1.02711251,-7.25682523
100000515093000,0.0703074528,0.0234358155,0.0660463909,-7.15387456,1.01992991,-7.26879624
100000516100000,0.0671116553,0.0234358155,0.0660463909,-7.13472095,1.0079589,-7.27597885
100000517106000,0.0649811264,0.0255663444,0.0660463909,-7.12753834,1.01753571,-7.25682523
100000518112000,0.0628505976,0.0266316088,0.0671116553,-7.15148036,1.02232411,-7.24246002
100000519118000,0.0607200687,0.0266316088,0.0681769197,-7.18499918,1.0031705,-7.24006582
100000520125000,0.0575242754,0.0276968733,0.0671116553,-7.16584557,1.01753571,-7.23048901
100000521131000,0.0553937465,0.0287621377,0.0671116553,-7.15148036,1.03190092,-7.24006582
100000522137000,0.0553937465,0.0298274021,0.0671116553,-7.16584557,0.995987891,-7.25921943
100000523143000,0.0532632176,0.0308926666,0.0671116553,-7.15148036,1.0127473,-7.25682523
100000524149000,0.0511326888,0.0308926666,0.0671116553,-7.14669196,1.03190092,-7.24964263
100000525156000,0.0490021599,0.031957931,0.0671116553,-7.16584557,1.03190092,-7.24485422
100000526162000,0.0479368955,0.031957931,0.0671116553,-7.16345137,1.03908352,-7.23767162
100000527168000,0.0458063666,0.0340884599,0.0671116553,-7.15387456,1.04147772,-7.23527742
100000528174000,0.0458063666,0.0351537264,0.0681769197,-7.16584557,1.04626613,-7.24724843
100000529181000,0.0447411022,0.0340884599,0.0681769197,-7.18260498,1.02711251,-7.23767162
100000530187000,0.041545313,0.0330231954,0.0671116553,-7.17302817,1.02471831,-7.22570061
100000531193000,0.0383495197,0.0330231954,0.0681769197,-7.16345137,1.05584293,-7.24006582
100000532199000,0.0372842553,0.0330231954,0.0692421842,-7.17063397,1.04866033,-7.22570061
100000533206000,0.0362189908,0.031957931,0.0692421842,-7.17063397,1.04387192,-7.18739338
100000534212000,0.0351537264,0.031957931,0.0692421842,-7.17302817,1.06781394,-7.2137296
100000535218000,0.0351537264,0.031957931,0.0681769197,-7.18021078,1.07260234,-7.22570061
100000536224000,0.0340884599,0.0298274021,0.0692421842,-7.19218179,1.07978495,-7.206547
100000537231000,0.0308926666,0.0287621377,0.0703074528,-7.17063397,1.06541974,-7.22570061
100000538237000,0.0276968733,0.0276968733,0.0713727172,-7.16823977,1.02950671,-7.18499918
100000539243000,0.0255663444,0.0266316088,0.0703074528,-7.19936439,1.02711251,-7.13950935
100000540249000,0.0234358155,0.0255663444,0.0703074528,-7.19697019,1.04626613,-7.16584557
100000541255000,0.0223705511,0.0234358155,0.0713727172,-7.18978759,1.07260234,-7.14669196
100000542262000,0.0223705511,0.0223705511,0.0724379817,-7.18978759,1.07978495,-7.11796154
100000543268000,0.0213052887,0.0213052887,0.0735032461,-7.2041528,1.07978495,-7.15866296
100000544274000,0.0202400243,0.0191747598,0.0724379817,-7.23288322,1.07020814,-7.14669196
100000545280000,0.0191747598,0.0181094954,0.0713727172,-7.23048901,1.05105453,-7.12035574
100000546287000,0.0170442299,0.0159789655,0.0713727172,-7.2089412,1.07020814,-7.11317313
100000547293000,0.0138484366,0.0127831722,0.0724379817,-7.19218179,1.04866033,-7.08683691
100000548299000,0.0127831722,0.00958737992,0.0745685105,-7.19936439,1.04387192,-7.07965431
100000549305000,0.0127831722,0.0063915861,0.0745685105,-7.206547,1.05584293,-7.0700775
100000550312000,0.0117179078,0.00426105748,0.0735032461,-7.2089412,1.05105453,-7.0628949
100000551318000,0.0106526444,0.00319579305,0.0735032461,-7.2161238,1.07020814,-7.04852969
100000552324000,0.00852211497,0,0.0745685105,-7.22809481,1.06063134,-7.02458767
100000553330000,0.00532632218,-0.00532632218,0.0735032461,-7.22570061,1.05105453,-7.01979927
100000554337000,0.00213052874,-0.00958737992,0.0745685105,-7.2041528,1.07978495,-7.00543406
100000555343000,0,-0.0117179078,0.0766990394,-7.2041528,1.08696755,-6.99346305
100000556349000,-0.00106526437,-0.0138484366,0.0777643038,-7.19936439,1.09415016,-6.99825145
100000557355000,-0.00319579305,-0.0181094954,0.0777643038,-7.19218179,1.11809218,-6.98149204
100000558361000,-0.00532632218,-0.0223705511,0.0788295683,-7.2041528,1.13006318,-6.95515582
