#t[ns],wx,wy,wz,ax,ay,az
43443398582999,-3.11589821,-0.769120856,-3.13294244,-5.60003768,-1.01753571,0.256179578
43443399571236,-3.13081191,-0.749946096,-3.10204977,-5.55215365,-1.13245739,0.316034619
43443400559473,-3.14466035,-0.730771337,-3.0711571,-5.50666382,-1.23780226,0.354341846
43443401548693,-3.15744352,-0.712661841,-3.04026443,-5.4755392,-1.34793553,0.354341846
43443402536930,-3.16916143,-0.694552412,-3.00724124,-5.46596239,-1.46525142,0.430956299
43443403525167,-3.1819446,-0.678573446,-2.97421804,-5.45159718,-1.57777889,0.507570752
43443404513405,-3.19366251,-0.663659744,-2.93906431,-5.41089575,-1.70706578,0.497993945
43443405501642,-3.20538042,-0.647680777,-2.90391059,-5.40610735,-1.86747729,0.51954176
43443406489879,-3.21603307,-0.632767075,-2.87088739,-5.42047256,-2.04464822,0.574608398
43443407479099,-3.22775097,-0.617853373,-2.83786419,-5.39413634,-2.20266553,0.588973608
43443408467336,-3.24053415,-0.602939671,-2.80377573,-5.3318871,-2.3056162,0.572214197
43443409455573,-3.25331732,-0.588025969,-2.76968753,-5.32709869,-2.37983645,0.550666382
43443410443810,-3.2629047,-0.573112267,-2.73453381,-5.31273348,-2.48996973,0.54827218
43443411432048,-3.27355735,-0.558198531,-2.70151061,-5.26724365,-2.62404502,0.608127222
43443412420285,-3.28314473,-0.545415358,-2.66635688,-5.20499441,-2.72938989,0.615309827
43443413409505,-3.29166684,-0.532632185,-2.63120316,-5.12598575,-2.79882174,0.536301172
43443414397742,-3.29912369,-0.515587954,-2.59285364,-5.11640895,-2.8826188,0.488417139
43443415385979,-3.30658054,-0.497478458,-2.55343885,-5.08767853,-3.0286651,0.481234534
43443416374216,-3.31297213,-0.481499492,-2.51508933,-5.06852491,-3.19865342,0.423773694
43443417362454,-3.31936372,-0.467651054,-2.47780508,-5.09007273,-3.34709392,0.390254871
43443418351673,-3.32362477,-0.452737352,-2.44265135,-5.10683214,-3.4596214,0.361524451
43443419339910,-3.32682057,-0.436758385,-2.4053671,-5.14992777,-3.57454308,0.332794031
43443420328148,-3.33108163,-0.420779419,-2.36808284,-5.14513937,-3.70382997,0.320823022
43443421316385,-3.33427742,-0.403735188,-2.33186385,-5.10204374,-3.78044442,0.265756384
43443422304622,-3.33321215,-0.387756221,-2.29564486,-5.11401475,-3.85227047,0.210689746
43443423292859,-3.33321215,-0.372842519,-2.25942587,-5.15471617,-3.95761534,0.181959326
43443424282079,-3.33321215,-0.356863553,-2.22320674,-5.17386979,-4.04859501,0.1436521
43443425270316,-3.33108163,-0.339819355,-2.18805302,-5.14992777,-4.00549938,0.0981622681
43443426258554,-3.3289511,-0.32170986,-2.15396456,-5.11640895,-3.93127913,0.00957680664
43443427246791,-3.32362477,-0.304665629,-2.11774557,-5.15950458,-4.00549938,0.00478840332
43443428235028,-3.31723319,-0.288686662,-2.08046131,-5.25287844,-4.16591089,0.112527478
