# timestamp tx ty tz qx qy qz qw
4.344956000000000495e+04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -6.260370411059422435e-02 8.239594048857404873e-01 0.000000000000000000e+00 5.631799670904228394e-01
4.344957953200000338e+04 1.105337442210922033e-05 -2.668650516932344102e-05 -3.950301872897733074e-07 -6.169485507394219942e-02 8.254075862706035105e-01 -1.646058983366953127e-03 5.611535902711171087e-01
4.344960000000000582e+04 3.173434841236129301e-04 -9.384222897633246981e-05 4.166667794767249175e-05 -6.031680064557692206e-02 8.271857402345027532e-01 -4.025103200847294019e-03 5.586675516412262787e-01
4.344961953200000426e+04 8.398656875932406689e-04 -2.235411666662300316e-04 7.829687236333374850e-05 -5.800259554175657417e-02 8.288445855437901466e-01 -6.808526313556215355e-03 5.564224976531770839e-01
4.344963999999999942e+04 1.531680291864150360e-03 -4.283420764712412448e-04 1.195209518239270428e-04 -5.396206941258248346e-02 8.306595775552917393e-01 -1.034141892162709041e-02 5.540630075497401386e-01
4.344965953200000513e+04 2.299952379593973514e-03 -5.825063206909305126e-04 3.293116551376383582e-04 -4.840071320279471651e-02 8.321155691232966500e-01 -1.423169269052224246e-02 5.523029146285899360e-01
4.344968000000000029e+04 3.221637944442119414e-03 -7.039238640297885421e-04 7.635730861968245556e-04 -4.142303121007707978e-02 8.335617356049864757e-01 -1.849003397502713142e-02 5.505606997091003763e-01
4.344969953200000600e+04 4.302571612391934731e-03 -7.649997642507911635e-04 1.398077397304831352e-03 -3.399141279800496629e-02 8.346125133801153284e-01 -2.256064959861625585e-02 5.493246339415436275e-01
4.344972000000000116e+04 5.790852257078072350e-03 -8.286168702695484922e-04 2.331822705388938120e-03 -2.580851534300536432e-02 8.348664129952158008e-01 -2.715221786488929492e-02 5.491764288944940287e-01
4.344973953199999960e+04 7.088083389392613003e-03 -8.841070987553793867e-04 3.554417587011647010e-03 -1.676217778300601036e-02 8.350074157127673757e-01 -3.274175597311357322e-02 5.490078528732115215e-01
4.344976000000000204e+04 8.531338465826017806e-03 -8.942897549102138107e-04 5.084767478536568464e-03 -6.587593624365121331e-03 8.347578381141780302e-01 -3.929955116128231590e-02 5.491734704041210113e-01
4.344977953200000047e+04 1.006173034240894978e-02 -7.803876667049801851e-04 6.848269110701680172e-03 2.936270193414058146e-03 8.340118035430986732e-01 -4.623441805332659943e-02 5.497982070318246928e-01
4.344980000000000291e+04 1.183256877250386634e-02 -4.435955669097386869e-04 9.032640981818596676e-03 1.261323924170474134e-02 8.325927743302148354e-01 -5.406852484833362532e-02 5.510959743544427969e-01
4.344981953200000135e+04 1.349715681466609127e-02 1.487399184543645103e-04 1.133225450144981217e-02 2.191566334014239531e-02 8.309245284341316706e-01 -6.229677463146639227e-02 5.524520283403745458e-01
4.344984000000000378e+04 1.535409348909430594e-02 1.273229158378644471e-03 1.375569391269698856e-02 3.106893166754697705e-02 8.291380606381067997e-01 -7.075312976693425016e-02 5.536775167139260656e-01
4.344985953200000222e+04 1.737293682442702519e-02 3.067288390322981013e-03 1.597182393829004940e-02 3.906163967659266600e-02 8.273750752498880701e-01 -7.778934660327058159e-02 5.548634883609252499e-01
4.344988000000000466e+04 1.974506262772404708e-02 5.578554288314673676e-03 1.829259586359408690e-02 4.651679123952714295e-02 8.256086144789491765e-01 -8.480291406581386138e-02 5.558912389999272063e-01
4.344989953200000309e+04 2.239653014584761306e-02 8.583549471251950003e-03 2.062965296856603473e-02 5.259267926082378947e-02 8.239611494024278171e-01 -9.078698742400156951e-02 5.568480558267870917e-01
4.344992000000000553e+04 2.572743420994020799e-02 1.231130098299927124e-02 2.317724991274383237e-02 5.759607079520343009e-02 8.221255144475774213e-01 -9.609315483215230547e-02 5.581741992583175715e-01
4.344993953200000396e+04 2.929535379481919277e-02 1.628591207703631444e-02 2.578425083798100911e-02 6.287614726593065972e-02 8.204405051686407546e-01 -9.971999980587503698e-02 5.594460556857426825e-01
4.344995999999999913e+04 3.355422965698234838e-02 2.082985628614783535e-02 2.880959870492605726e-02 6.842442715408637854e-02 8.179836247948023553e-01 -1.022713998006482827e-01 5.619265504663462085e-01
4.344997953200000484e+04 3.792265627660956068e-02 2.553444384804672701e-02 3.163313610688686661e-02 7.460532961683731534e-02 8.154066629149918644e-01 -1.043478224487385531e-01 5.644976092215149288e-01
4.345000000000000000e+04 4.276329773926450944e-02 3.081825601592850378e-02 3.454373634003204269e-02 8.084942103239735334e-02 8.129148400026700028e-01 -1.067684542638361739e-01 5.667744976586991390e-01
4.345001953200000571e+04 4.770916305085032283e-02 3.628523361008463566e-02 3.721661644143374470e-02 8.586721248325632216e-02 8.108570096545865136e-01 -1.089349673321153428e-01 5.685691731062527676e-01
