#t[ns],wx,wy,wz,ax,ay,az
1419827585000,-1.15900771,-2.47780508,-0.093743262,-8.42998405,0.193930334,-7.38850632
1419828591000,-1.17179088,-2.4831314,-0.0969390554,-8.42519564,0.136469495,-7.33343969
1419829597000,-1.18244352,-2.48845772,-0.0990695842,-8.39646522,0.136469495,-7.31189187
1419830603000,-1.19416143,-2.49271878,-0.0990695842,-8.31745657,0.179565125,-7.30710347
1419831610000,-1.20481408,-2.4980451,-0.101200113,-8.29830295,0.225054956,-7.33104548
1419832616000,-1.21653199,-2.50230616,-0.104395906,-8.29830295,0.203507141,-7.32625708
1419833622000,-1.22931516,-2.50550195,-0.108656964,-8.27914934,0.193930334,-7.31428607
1419834628000,-1.24103307,-2.50869775,-0.110787493,-8.2264769,0.227449158,-7.34062229
1419835634000,-1.25168571,-2.50976301,-0.112918022,-8.17619867,0.225054956,-7.39329473
1419836640000,-1.26340362,-2.51082828,-0.115048551,-8.17859287,0.215478149,-7.42202515
1419837646000,-1.27405627,-2.51189354,-0.118244344,-8.16901606,0.241814368,-7.43878456
1419838653000,-1.28470891,-2.5129588,-0.121440137,-8.11155522,0.251391174,-7.47709178
1419839659000,-1.29642682,-2.51082828,-0.124635931,-8.0828248,0.205901343,-7.46751498
1419840665000,-1.30814473,-2.50976301,-0.12676646,-8.0708538,0.210689746,-7.46990918
1419841671000,-1.31986264,-2.51082828,-0.127831724,-8.03733497,0.239420166,-7.51300481
1419842677000,-1.33264581,-2.50869775,-0.129962253,-8.03254657,0.227449158,-7.54412943
1419843683000,-1.34329845,-2.50656722,-0.132092782,-8.03972917,0.213083948,-7.53694683
1419844689000,-1.3539511,-2.50443669,-0.134223311,-8.01578716,0.222660754,-7.54412943
1419845696000,-1.36566901,-2.50337142,-0.136353839,-7.98226833,0.258573779,-7.59440767
1419846702000,-1.37845218,-2.50230616,-0.139549633,-7.99184514,0.277727393,-7.63032069
1419847708000,-1.39017009,-2.49911037,-0.14168017,-7.99902775,0.268150586,-7.6398975
1419848714000,-1.40295313,-2.49591457,-0.142745434,-7.95593212,0.284909998,-7.68299313
1419849720000,-1.41467104,-2.49378404,-0.144875963,-7.94156691,0.301669409,-7.69975254
