#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
173096313818436,0.0033997328,0.0622107125,0.010045074,-2.38609564,10.8800673,-2.51521559
173096314825449,0.0033997328,0.0622107125,0.010045074,-2.35522156,10.8872868,-2.45513648
173096315831461,0.0033997328,0.0622107125,0.010045074,-2.32427556,10.8945839,-2.41663702
173096316837473,0.0033997328,0.0622107125,0.010045074,-2.31732268,10.9185407,-2.40462277
173096317843486,0.0033997328,0.0622107125,0.010045074,-2.30577677,10.9519837,-2.35662378
173096318849498,0.0033997328,0.0622107125,0.010045074,-2.27268014,10.9807701,-2.29653965
173096319856510,0.0033997328,0.0622107125,0.010045074,-2.24422934,10.9975986,-2.25086002
173096320862523,0.0033997328,0.0622107125,0.010045074,-2.19167984,11.0027108,-2.22185568
173096321868535,0.0033997328,0.0622107125,0.010045074,-2.14619,10.9982398,-2.20726703
173096322874547,0.0033997328,0.0622107125,0.010045074,-2.11772152,11.0199169,-2.1783728
173096323880560,0.0033997328,0.0622107125,0.010045074,-2.0867881,11.0368596,-2.1590577
173096324886572,0.0033997328,0.0622107125,0.010045074,-2.05326722,11.0226372,-2.12293983
173096325893584,0.0033997328,0.0622107125,0.010045074,-1.99611524,11.0300015,-2.04356246
173096326899597,0.0033997328,0.0622107125,0.010045074,-1.97249527,11.0539908,-2.00270132
173096327905609,0.0033997328,0.0622107125,0.010045074,-1.99425521,11.0656662,-1.96923128
173096328911621,0.0179972249,0.103030094,-0.00269163775,-1.9867507,11.0226036,-1.96199522
173096329917633,0.116835262,0.825719538,-0.21904269,-1.94316933,10.9582677,-1.94979943
173096330923646,0.144610802,2.19139141,-0.591956766,-1.92881898,10.9414614,-1.90417462
173096331929658,0.0885029464,3.10221602,-0.818997608,-1.89993909,10.9177011,-1.88965508
173096332936670,0.0399018252,3.31914604,-0.85997785,-1.88054892,10.8746409,-1.85599101
173096333942683,0.0277672595,3.23119069,-0.826948254,-1.89964318,10.850406,-1.81770565
173096334948695,0.034732144,3.15411705,-0.801272475,-1.89000549,10.8360583,-1.80087547
173096335954707,0.0432127866,3.15630394,-0.796968735,-1.87793338,10.809699,-1.76724745
173096336960720,0.0471907616,3.18950786,-0.800177953,-1.86810293,10.7641669,-1.73362508
173096337966732,0.0480279953,3.21518498,-0.800203207,-1.83922134,10.7452381,-1.73109545
173096338972744,0.0500209544,3.22909095,-0.79701485,-1.82494727,10.7500826,-1.71424906
173096339979757,0.0531303084,3.23766265,-0.794878231,-1.83929036,10.7306749,-1.67594378
173096340985769,0.0562301872,3.24730387,-0.792742919,-1.86065026,10.6872414,-1.63047085
