#seq,cam,ts_ns,file
0,0,173096397281000,c0_000000.gray
0,2,173096397278000,c2_000000.gray
1,0,173096416278000,c0_000001.gray
1,2,173096416275000,c2_000001.gray
2,0,173096430614000,c0_000002.gray
2,2,173096430617000,c2_000002.gray
3,0,173096449611000,c0_000003.gray
3,2,173096449614000,c2_000003.gray
4,0,173096463941000,c0_000004.gray
4,2,173096463947000,c2_000004.gray
5,0,173096482946000,c0_000005.gray
5,2,173096482948000,c2_000005.gray
6,0,173096497280000,c0_000006.gray
6,2,173096497283000,c2_000006.gray
7,0,173096516279000,c0_000007.gray
7,2,173096516281000,c2_000007.gray
8,0,173096663948000,c0_000008.gray
8,2,173096682951000,c2_000008.gray
9,0,173096682948000,c0_000009.gray
9,2,173096697282000,c2_000009.gray
10,0,173096697284000,c0_000010.gray
10,2,173096716281000,c2_000010.gray
11,0,173096716278000,c0_000011.gray
11,2,173096730617000,c2_000011.gray
12,0,173096730619000,c0_000012.gray
12,2,173096749612000,c2_000012.gray
13,0,173096749627000,c0_000013.gray
13,2,173096763954000,c2_000013.gray
14,0,173096763952000,c0_000014.gray
17,0,173096782949000,c0_000017.gray
17,2,173096782952000,c2_000017.gray
19,0,173096797283000,c0_000019.gray
19,2,173096797294000,c2_000019.gray
24,0,173096816275000,c0_000024.gray
24,2,173096816279000,c2_000024.gray
26,0,173096830622000,c0_000026.gray
26,2,173096830624000,c2_000026.gray
30,0,173096849619000,c0_000030.gray
30,2,173096849616000,c2_000030.gray
32,0,173096863956000,c0_000032.gray
32,2,173096863959000,c2_000032.gray
36,0,173096882951000,c0_000036.gray
36,2,173096882948000,c2_000036.gray
38,0,173096897284000,c0_000038.gray
38,2,173096897288000,c2_000038.gray
42,0,173096916281000,c0_000042.gray
42,2,173096916285000,c2_000042.gray
44,0,173096930621000,c0_000044.gray
44,2,173096930629000,c2_000044.gray
48,2,173096949612000,c2_000048.gray
49,0,173096949613000,c0_000049.gray
50,0,173096963955000,c0_000050.gray
50,2,173096963953000,c2_000050.gray
54,0,173096982953000,c0_000054.gray
54,2,173096982950000,c2_000054.gray
56,0,173096997291000,c0_000056.gray
56,2,173096997286000,c2_000056.gray
61,0,173097016285000,c0_000061.gray
61,2,173097016282000,c2_000061.gray
63,0,173097030621000,c0_000063.gray
63,2,173097030618000,c2_000063.gray
67,0,173097049618000,c0_000067.gray
67,2,173097049615000,c2_000067.gray
70,0,173097063954000,c0_000070.gray
70,2,173097063951000,c2_000070.gray
74,0,173097082950000,c0_000074.gray
74,2,173097082947000,c2_000074.gray
76,0,173097097289000,c0_000076.gray
76,2,173097097286000,c2_000076.gray
81,0,173097116283000,c0_000081.gray
81,2,173097116308000,c2_000081.gray
83,0,173097130625000,c0_000083.gray
83,2,173097130621000,c2_000083.gray
87,0,173097149619000,c0_000087.gray
87,2,173097149622000,c2_000087.gray
90,0,173097163959000,c0_000090.gray
90,2,173097163957000,c2_000090.gray
94,0,173097182966000,c0_000094.gray
94,2,173097182950000,c2_000094.gray
96,0,173097197293000,c0_000096.gray
96,2,173097197290000,c2_000096.gray
101,0,173097216287000,c0_000101.gray
101,2,173097216284000,c2_000101.gray
103,0,173097230654000,c0_000103.gray
103,2,173097230624000,c2_000103.gray
107,0,173097249620000,c0_000107.gray
107,2,173097249622000,c2_000107.gray
110,0,173097263961000,c0_000110.gray
110,2,173097263959000,c2_000110.gray
114,0,173097282957000,c0_000114.gray
114,2,173097282954000,c2_000114.gray
116,0,173097297293000,c0_000116.gray
116,2,173097297349000,c2_000116.gray
120,0,173097316286000,c0_000120.gray
120,2,173097316288000,c2_000120.gray
123,0,173097330621000,c0_000123.gray
123,2,173097330617000,c2_000123.gray
127,0,173097349620000,c0_000127.gray
127,2,173097349617000,c2_000127.gray
128,0,173097363956000,c0_000128.gray
128,2,173097363952000,c2_000128.gray
132,0,173097382952000,c0_000132.gray
132,2,173097382956000,c2_000132.gray
134,0,173097397297000,c0_000134.gray
134,2,173097397294000,c2_000134.gray
139,0,173097416284000,c0_000139.gray
139,2,173097416305000,c2_000139.gray
141,0,173097430630000,c0_000141.gray
141,2,173097430627000,c2_000141.gray
145,0,173097449623000,c0_000145.gray
145,2,173097449628000,c2_000145.gray
147,0,173097463959000,c0_000147.gray
147,2,173097463961000,c2_000147.gray
152,0,173097482949000,c0_000152.gray
152,2,173097482952000,c2_000152.gray
153,2,173097497292000,c2_000153.gray
154,0,173097497289000,c0_000154.gray
158,0,173097516305000,c0_000158.gray
158,2,173097516320000,c2_000158.gray
160,0,173097530623000,c0_000160.gray
160,2,173097530625000,c2_000160.gray
163,2,173097549619000,c2_000163.gray
164,0,173097549616000,c0_000164.gray
166,0,173097563962000,c0_000166.gray
166,2,173097563959000,c2_000166.gray
170,0,173097582956000,c0_000170.gray
170,2,173097582959000,c2_000170.gray
172,0,173097597296000,c0_000172.gray
172,2,173097597293000,c2_000172.gray
176,2,173097616288000,c2_000176.gray
177,0,173097616284000,c0_000177.gray
179,0,173097630630000,c0_000179.gray
179,2,173097630627000,c2_000179.gray
183,0,173097649623000,c0_000183.gray
183,2,173097649620000,c2_000183.gray
185,0,173097663961000,c0_000185.gray
185,2,173097663958000,c2_000185.gray
190,0,173097682954000,c0_000190.gray
190,2,173097682951000,c2_000190.gray
192,0,173097697293000,c0_000192.gray
192,2,173097697296000,c2_000192.gray
196,0,173097716288000,c0_000196.gray
196,2,173097716283000,c2_000196.gray
198,0,173097730642000,c0_000198.gray
198,2,173097730627000,c2_000198.gray
203,0,173097749623000,c0_000203.gray
203,2,173097749620000,c2_000203.gray
205,0,173097763965000,c0_000205.gray
205,2,173097763962000,c2_000205.gray
209,2,173097782953000,c2_000209.gray
210,0,173097782982000,c0_000210.gray
212,0,173097797297000,c0_000212.gray
212,2,173097797294000,c2_000212.gray
216,0,173097816289000,c0_000216.gray
216,2,173097816285000,c2_000216.gray
218,0,173097830657000,c0_000218.gray
218,2,173097830623000,c2_000218.gray
223,0,173097849622000,c0_000223.gray
223,2,173097849619000,c2_000223.gray
225,0,173097863962000,c0_000225.gray
225,2,173097863959000,c2_000225.gray
229,0,173097882958000,c0_000229.gray
229,2,173097882987000,c2_000229.gray
231,0,173097897294000,c0_000231.gray
231,2,173097897291000,c2_000231.gray
236,0,173097916288000,c0_000236.gray
236,2,173097916319000,c2_000236.gray
238,0,173097930629000,c0_000238.gray
238,2,173097930626000,c2_000238.gray
242,0,173097949625000,c0_000242.gray
242,2,173097949659000,c2_000242.gray
244,0,173097963961000,c0_000244.gray
244,2,173097963958000,c2_000244.gray
249,0,173097982954000,c0_000249.gray
249,2,173097982995000,c2_000249.gray
251,0,173097997296000,c0_000251.gray
251,2,173097997292000,c2_000251.gray
256,0,173098016289000,c0_000256.gray
256,2,173098016286000,c2_000256.gray
258,0,173098030630000,c0_000258.gray
258,2,173098030627000,c2_000258.gray
262,0,173098049625000,c0_000262.gray
262,2,173098049619000,c2_000262.gray
265,0,173098063959000,c0_000265.gray
265,2,173098063961000,c2_000265.gray
269,0,173098082958000,c0_000269.gray
269,2,173098082954000,c2_000269.gray
271,0,173098097297000,c0_000271.gray
271,2,173098097294000,c2_000271.gray
275,2,173098116284000,c2_000275.gray
276,0,173098116287000,c0_000276.gray
278,0,173098130629000,c0_000278.gray
278,2,173098130626000,c2_000278.gray
282,0,173098149625000,c0_000282.gray
282,2,173098149620000,c2_000282.gray
284,0,173098163963000,c0_000284.gray
284,2,173098163959000,c2_000284.gray
289,0,173098182957000,c0_000289.gray
289,2,173098182952000,c2_000289.gray
291,0,173098197296000,c0_000291.gray
291,2,173098197294000,c2_000291.gray
295,0,173098216294000,c0_000295.gray
295,2,173098216313000,c2_000295.gray
298,0,173098230633000,c0_000298.gray
298,2,173098230631000,c2_000298.gray
302,0,173098249625000,c0_000302.gray
302,2,173098249620000,c2_000302.gray
304,0,173098263965000,c0_000304.gray
304,2,173098263961000,c2_000304.gray
309,0,173098282958000,c0_000309.gray
309,2,173098282962000,c2_000309.gray
311,0,173098297297000,c0_000311.gray
311,2,173098297294000,c2_000311.gray
315,2,173098316289000,c2_000315.gray
316,0,173098316312000,c0_000316.gray
318,0,173098330634000,c0_000318.gray
318,2,173098330631000,c2_000318.gray
322,0,173098349628000,c0_000322.gray
322,2,173098349624000,c2_000322.gray
324,0,173098363970000,c0_000324.gray
324,2,173098363967000,c2_000324.gray
328,0,173098382961000,c0_000328.gray
328,2,173098382964000,c2_000328.gray
330,0,173098397302000,c0_000330.gray
330,2,173098397304000,c2_000330.gray
334,0,173098416296000,c0_000334.gray
334,2,173098416299000,c2_000334.gray
336,0,173098430639000,c0_000336.gray
336,2,173098430636000,c2_000336.gray
341,0,173098449684000,c0_000341.gray
341,2,173098449624000,c2_000341.gray
343,0,173098463969000,c0_000343.gray
343,2,173098463967000,c2_000343.gray
347,0,173098482962000,c0_000347.gray
347,2,173098482957000,c2_000347.gray
350,0,173098497297000,c0_000350.gray
350,2,173098497294000,c2_000350.gray
354,0,173098516297000,c0_000354.gray
354,2,173098516294000,c2_000354.gray
356,0,173098530633000,c0_000356.gray
356,2,173098530630000,c2_000356.gray
360,0,173098549629000,c0_000360.gray
360,2,173098549626000,c2_000360.gray
362,0,173098563964000,c0_000362.gray
362,2,173098563961000,c2_000362.gray
367,0,173098582960000,c0_000367.gray
367,2,173098582963000,c2_000367.gray
369,0,173098597303000,c0_000369.gray
369,2,173098597300000,c2_000369.gray
373,0,173098616298000,c0_000373.gray
373,2,173098616295000,c2_000373.gray
375,0,173098630665000,c0_000375.gray
375,2,173098630641000,c2_000375.gray
380,0,173098649631000,c0_000380.gray
380,2,173098649627000,c2_000380.gray
382,0,173098663972000,c0_000382.gray
382,2,173098663969000,c2_000382.gray
386,0,173098682965000,c0_000386.gray
386,2,173098682961000,c2_000386.gray
388,2,173098697301000,c2_000388.gray
389,0,173098697298000,c0_000389.gray
393,0,173098716295000,c0_000393.gray
393,2,173098716289000,c2_000393.gray
395,0,173098730636000,c0_000395.gray
395,2,173098730638000,c2_000395.gray
399,0,173098749628000,c0_000399.gray
399,2,173098749624000,c2_000399.gray
401,0,173098763972000,c0_000401.gray
401,2,173098763968000,c2_000401.gray
406,0,173098782962000,c0_000406.gray
406,2,173098782985000,c2_000406.gray
408,0,173098797303000,c0_000408.gray
408,2,173098797306000,c2_000408.gray
412,0,173098816294000,c0_000412.gray
412,2,173098816291000,c2_000412.gray
414,0,173098830667000,c0_000414.gray
414,2,173098830635000,c2_000414.gray
419,0,173098849626000,c0_000419.gray
419,2,173098849623000,c2_000419.gray
421,0,173098863971000,c0_000421.gray
421,2,173098863973000,c2_000421.gray
425,0,173098882962000,c0_000425.gray
425,2,173098882955000,c2_000425.gray
428,0,173098897302000,c0_000428.gray
428,2,173098897305000,c2_000428.gray
