#timestamp [ns],w_x,w_y,w_z,a_x,a_y,a_z
100000000000,0.00402746648,0.00239842624,-0.00273717757,0.016246994,-0.0121689743,9.82955609
100001000000,0.00453629217,0.00220747411,-0.00315080947,0.0303091648,-0.0037955478,9.82944177
100002000000,0.0036672026,0.00199752031,-0.00267534944,0.0106579116,-0.0183289999,9.84675767
100003000000,0.00402899842,0.00242795698,-0.00257417326,0.0317187105,-0.00965070945,9.830524
100004000000,0.00368622067,0.00180831009,-0.00294205451,0.0273542823,-0.0320100048,9.83997741
100005000000,0.00371714009,0.00198545425,-0.0029990503,0.0136516256,0.00205595124,9.8465839
100006000000,0.00352423285,0.00210039457,-0.00303374325,0.0214273375,-0.0237394003,9.83916243
100007000000,0.00358175339,0.00164846202,-0.0032589133,0.0233217204,-0.0338266015,9.85546649
100008000000,0.00394705649,0.00198847855,-0.00308371856,0.0325722559,-0.0119469831,9.88695586
100009000000,0.00383050171,0.00180634286,-0.00269123848,0.0133164964,0.0126419758,9.86958397
100010000000,0.00434430525,0.00166214537,-0.00283247996,0.0373209544,-0.0524495368,9.85514373
100011000000,0.00385395537,0.00178575546,-0.00267182403,0.049148815,-0.0113283636,9.84494724
100012000000,0.0042148071,0.00197493626,-0.00324058796,0.0361679077,-0.0146017156,9.833327
100013000000,0.00389965497,0.00219056395,-0.0028844261,0.0163547642,-0.04962163,9.83276027
100014000000,0.00371611378,0.00196934448,-0.00325820956,0.0821489911,-0.00910392819,9.83054427
100015000000,0.00413327386,0.00270903202,-0.00304350335,0.0504904257,-0.00851185103,9.84940396
100016000000,0.00418242396,0.00158287675,-0.00294348209,0.0284817021,-0.0189678875,9.85179746
100017000000,0.00408883197,0.00216725187,-0.00306925386,0.0218291585,-0.0274807999,9.83514376
100018000000,0.00406789543,0.00200566142,-0.00296957645,0.0198717093,-0.0203622719,9.84123972
100019000000,0.00406053844,0.00222380286,-0.00297814771,0.0475492211,-0.0171718871,9.86394611
100020000000,0.00403036672,0.00231192541,-0.00316821309,0.0427540489,0.00194840957,9.84277656
100021000000,0.00411921745,0.00299222142,-0.00238248582,0.038930355,0.00257947746,9.88978599
