# timestamp tx ty tz qx qy qz qw
173373.396779135 -0.001754750 -0.002480443 0.000876497 0.675786872 0.053201029 -0.735170806 0.002374903
173373.430113085 -0.001741134 -0.002055687 0.000492636 0.677485783 0.050940426 -0.733763999 0.002912125
173373.463447034 -0.001814224 -0.001371723 -0.000788148 0.688341007 0.047388017 -0.723836541 0.001302775
173373.496780983 -0.001820963 -0.000982285 -0.001798476 -0.704371999 -0.043558737 0.708491248 0.001695350
173373.530114932 -0.001497996 -0.000452872 -0.003006208 -0.726212690 -0.034222533 0.686607862 0.003686513
173373.563448882 -0.000356563 0.000097187 -0.003770089 -0.756059946 -0.022738617 0.654033972 0.009791731
173373.596782831 0.003223951 0.000092209 -0.003065442 -0.794168338 -0.024012093 0.606962419 0.017795852
173373.630116780 0.012447522 -0.000866524 -0.000258661 -0.843580830 -0.035525396 0.534884894 0.031740831
173373.663450729 0.028461247 -0.003581234 0.006586283 -0.894611625 -0.064390323 0.439552223 0.048143218
173373.696784678 0.047769976 -0.009592979 0.020501235 -0.933531858 -0.093210367 0.340514803 0.062287768
173373.730118628 0.065866312 -0.020283728 0.041086410 -0.956453146 -0.100367860 0.264959374 0.070144158
173373.763452577 0.079803855 -0.035721466 0.065831893 -0.966935964 -0.074094152 0.232420823 0.074333431
173373.796786526 0.087968197 -0.054211837 0.091500138 -0.965709523 -0.016014320 0.247294532 0.077421395
173373.830120475 0.089720973 -0.073534389 0.116659723 -0.948849098 0.062333270 0.299742056 0.077166396
173373.863454424 0.086413041 -0.091824481 0.144023708 -0.914889513 0.142483033 0.370012615 0.075937014
173373.896788374 0.081415744 -0.107383863 0.175737678 -0.871251398 0.203376828 0.440300672 0.075459832
173373.930122323 0.077228169 -0.099991881 0.211394407 -0.830766289 0.231453550 0.500796472 0.073888566
173373.963456272 0.078581794 -0.108228231 0.249168391 -0.805419815 0.220514469 0.544549059 0.078349299
173373.996790221 0.130245502 -0.092387377 0.286618149 -0.793775040 0.175776631 0.575415671 0.088997568
173374.030124171 0.141033515 -0.096918678 0.316030484 -0.796095247 0.120989116 0.583758331 0.104020203
173374.063458120 0.157506276 -0.104044734 0.348810111 -0.804604783 0.044811812 0.577891073 0.129015317
173374.096792069 0.176937750 -0.114475578 0.377215082 -0.810849459 -0.024859010 0.563489958 0.156154577
173374.130126018 0.198672988 -0.129177224 0.398964038 -0.812431413 -0.067709777 0.552672792 0.172983727
173374.163459967 0.222139194 -0.147866374 0.412853943 -0.808383088 -0.073936253 0.557098399 0.175190146
173374.196793917 0.246768772 -0.169412654 0.418669755 -0.802340699 -0.048501342 0.573592860 0.157760116
173374.230127866 0.273602336 -0.192905730 0.419194812 -0.795174188 -0.009272461 0.591308257 0.134039460
173374.263461815 0.303601324 -0.216826152 0.416211219 -0.794828271 0.024646778 0.596039947 0.111251689
173374.296795764 0.335903731 -0.239441029 0.410185761 -0.803253592 0.042817218 0.587443685 0.088658163
173374.330129713 0.370647289 -0.260313806 0.402018357 -0.816418533 0.049962141 0.570791692 0.071842931
173374.363463663 0.378578884 -0.280086554 0.392645801 -0.831529916 0.056318992 0.550048246 0.053226846
173374.396797612 0.443942948 -0.300986013 0.377819950 -0.837229788 0.077654835 0.540574307 0.028203319
173374.430131561 0.481400964 -0.319399398 0.361198374 -0.837347407 0.117966865 0.533788673 0.001670801
173374.463465510 0.519638827 -0.335728680 0.343326588 0.834564827 -0.169322163 -0.523816072 0.021172588
173374.496799460 0.558909759 -0.348803792 0.324506724 0.833631403 -0.221211252 -0.504863968 0.035165893
173374.530133409 0.594739231 -0.356603789 0.309641108 0.847923543 -0.230671233 -0.475976731 0.035533072
173374.563467358 0.620419897 -0.364277448 0.302536014 0.866734384 -0.194579964 -0.457831156 0.036066295
173374.596801307 0.636917466 -0.371976516 0.294479119 0.876057032 -0.155845059 -0.453488578 0.050838014
