#seq,cam,ts_ns,file
0,0,173356671622000,c0_000000.gray
0,2,173356671620000,c2_000000.gray
1,0,173356690616000,c0_000001.gray
1,2,173356690618000,c2_000001.gray
2,0,173356704953000,c0_000002.gray
2,2,173356704955000,c2_000002.gray
3,0,173356723954000,c0_000003.gray
3,2,173356723951000,c2_000003.gray
4,0,173356738287000,c0_000004.gray
4,2,173356738286000,c2_000004.gray
5,0,173356757279000,c0_000005.gray
5,2,173356757281000,c2_000005.gray
6,0,173356771618000,c0_000006.gray
6,2,173356771624000,c2_000006.gray
7,0,173356790614000,c0_000007.gray
7,2,173356790646000,c2_000007.gray
8,0,173356957290000,c0_000008.gray
8,2,173356971614000,c2_000008.gray
9,0,173356971613000,c0_000009.gray
12,0,173356990609000,c0_000012.gray
12,2,173356990612000,c2_000012.gray
18,0,173357004941000,c0_000018.gray
18,2,173357004942000,c2_000018.gray
26,0,173357023938000,c0_000026.gray
26,2,173357023940000,c2_000026.gray
32,0,173357038275000,c0_000032.gray
32,2,173357038273000,c2_000032.gray
38,0,173357057281000,c0_000038.gray
38,2,173357057284000,c2_000038.gray
40,0,173357071623000,c0_000040.gray
40,2,173357071626000,c2_000040.gray
45,0,173357090617000,c0_000045.gray
45,2,173357090628000,c2_000045.gray
47,0,173357104958000,c0_000047.gray
47,2,173357104960000,c2_000047.gray
52,0,173357123949000,c0_000052.gray
52,2,173357123956000,c2_000052.gray
53,0,173357138296000,c0_000053.gray
53,2,173357138293000,c2_000053.gray
58,0,173357157284000,c0_000058.gray
58,2,173357157288000,c2_000058.gray
60,0,173357171627000,c0_000060.gray
60,2,173357171633000,c2_000060.gray
64,0,173357190621000,c0_000064.gray
64,2,173357190618000,c2_000064.gray
67,0,173357204957000,c0_000067.gray
67,2,173357204962000,c2_000067.gray
71,0,173357223951000,c0_000071.gray
71,2,173357223954000,c2_000071.gray
73,0,173357238294000,c0_000073.gray
73,2,173357238292000,c2_000073.gray
78,0,173357257289000,c0_000078.gray
78,2,173357257285000,c2_000078.gray
80,0,173357271628000,c0_000080.gray
80,2,173357271624000,c2_000080.gray
84,2,173357290619000,c2_000084.gray
85,0,173357290622000,c0_000085.gray
87,0,173357304960000,c0_000087.gray
87,2,173357304957000,c2_000087.gray
91,0,173357323957000,c0_000091.gray
91,2,173357323954000,c2_000091.gray
94,0,173357338293000,c0_000094.gray
94,2,173357338296000,c2_000094.gray
98,0,173357357289000,c0_000098.gray
98,2,173357357296000,c2_000098.gray
100,0,173357371621000,c0_000100.gray
100,2,173357371624000,c2_000100.gray
105,0,173357390624000,c0_000105.gray
105,2,173357390621000,c2_000105.gray
107,0,173357404956000,c0_000107.gray
107,2,173357404959000,c2_000107.gray
111,0,173357423958000,c0_000111.gray
111,2,173357423955000,c2_000111.gray
114,0,173357438297000,c0_000114.gray
114,2,173357438294000,c2_000114.gray
118,0,173357457332000,c0_000118.gray
118,2,173357457289000,c2_000118.gray
120,0,173357471623000,c0_000120.gray
120,2,173357471626000,c2_000120.gray
125,0,173357490624000,c0_000125.gray
125,2,173357490626000,c2_000125.gray
127,0,173357504959000,c0_000127.gray
127,2,173357504961000,c2_000127.gray
132,0,173357523955000,c0_000132.gray
132,2,173357523958000,c2_000132.gray
134,0,173357538302000,c0_000134.gray
134,2,173357538297000,c2_000134.gray
138,0,173357557332000,c0_000138.gray
138,2,173357557289000,c2_000138.gray
141,0,173357571629000,c0_000141.gray
141,2,173357571627000,c2_000141.gray
145,0,173357590622000,c0_000145.gray
145,2,173357590618000,c2_000145.gray
147,0,173357604963000,c0_000147.gray
147,2,173357604965000,c2_000147.gray
152,0,173357623952000,c0_000152.gray
152,2,173357623962000,c2_000152.gray
154,0,173357638297000,c0_000154.gray
154,2,173357638300000,c2_000154.gray
158,0,173357657288000,c0_000158.gray
158,2,173357657291000,c2_000158.gray
161,0,173357671631000,c0_000161.gray
161,2,173357671637000,c2_000161.gray
165,0,173357690623000,c0_000165.gray
165,2,173357690646000,c2_000165.gray
167,0,173357704964000,c0_000167.gray
167,2,173357704973000,c2_000167.gray
172,0,173357723952000,c0_000172.gray
172,2,173357723956000,c2_000172.gray
174,0,173357738298000,c0_000174.gray
174,2,173357738326000,c2_000174.gray
178,0,173357757287000,c0_000178.gray
178,2,173357757289000,c2_000178.gray
181,0,173357771629000,c0_000181.gray
181,2,173357771632000,c2_000181.gray
185,0,173357790624000,c0_000185.gray
185,2,173357790621000,c2_000185.gray
187,0,173357804964000,c0_000187.gray
187,2,173357804966000,c2_000187.gray
192,0,173357823953000,c0_000192.gray
192,2,173357823958000,c2_000192.gray
194,0,173357838302000,c0_000194.gray
194,2,173357838300000,c2_000194.gray
198,2,173357857290000,c2_000198.gray
199,0,173357857293000,c0_000199.gray
201,0,173357871630000,c0_000201.gray
201,2,173357871639000,c2_000201.gray
205,0,173357890623000,c0_000205.gray
205,2,173357890629000,c2_000205.gray
208,0,173357904965000,c0_000208.gray
208,2,173357904971000,c2_000208.gray
212,0,173357923955000,c0_000212.gray
212,2,173357923957000,c2_000212.gray
214,0,173357938300000,c0_000214.gray
214,2,173357938302000,c2_000214.gray
219,0,173357957290000,c0_000219.gray
219,2,173357957294000,c2_000219.gray
221,0,173357971633000,c0_000221.gray
221,2,173357971635000,c2_000221.gray
225,0,173357990625000,c0_000225.gray
225,2,173357990622000,c2_000225.gray
228,0,173358004966000,c0_000228.gray
228,2,173358004968000,c2_000228.gray
232,0,173358023955000,c0_000232.gray
232,2,173358023959000,c2_000232.gray
234,0,173358038300000,c0_000234.gray
234,2,173358038303000,c2_000234.gray
238,0,173358057318000,c0_000238.gray
238,2,173358057305000,c2_000238.gray
241,0,173358071631000,c0_000241.gray
241,2,173358071634000,c2_000241.gray
245,0,173358090625000,c0_000245.gray
245,2,173358090622000,c2_000245.gray
247,0,173358104969000,c0_000247.gray
247,2,173358104965000,c2_000247.gray
252,0,173358123958000,c0_000252.gray
252,2,173358123963000,c2_000252.gray
254,0,173358138303000,c0_000254.gray
254,2,173358138300000,c2_000254.gray
258,0,173358157289000,c0_000258.gray
258,2,173358157293000,c2_000258.gray
261,0,173358171634000,c0_000261.gray
261,2,173358171632000,c2_000261.gray
265,0,173358190630000,c0_000265.gray
265,2,173358190627000,c2_000265.gray
267,0,173358204969000,c0_000267.gray
267,2,173358204967000,c2_000267.gray
271,0,173358223960000,c0_000271.gray
271,2,173358223963000,c2_000271.gray
274,0,173358238302000,c0_000274.gray
274,2,173358238299000,c2_000274.gray
278,0,173358257294000,c0_000278.gray
278,2,173358257296000,c2_000278.gray
281,0,173358271629000,c0_000281.gray
281,2,173358271627000,c2_000281.gray
285,0,173358290628000,c0_000285.gray
285,2,173358290621000,c2_000285.gray
287,0,173358304968000,c0_000287.gray
287,2,173358304971000,c2_000287.gray
292,0,173358323959000,c0_000292.gray
292,2,173358323963000,c2_000292.gray
294,0,173358338300000,c0_000294.gray
294,2,173358338297000,c2_000294.gray
298,0,173358357298000,c0_000298.gray
298,2,173358357296000,c2_000298.gray
301,0,173358371628000,c0_000301.gray
301,2,173358371631000,c2_000301.gray
305,0,173358390630000,c0_000305.gray
305,2,173358390633000,c2_000305.gray
307,0,173358404969000,c0_000307.gray
307,2,173358404966000,c2_000307.gray
312,0,173358423964000,c0_000312.gray
312,2,173358423961000,c2_000312.gray
314,0,173358438303000,c0_000314.gray
314,2,173358438300000,c2_000314.gray
319,0,173358457289000,c0_000319.gray
319,2,173358457291000,c2_000319.gray
321,0,173358471637000,c0_000321.gray
321,2,173358471634000,c2_000321.gray
325,0,173358490625000,c0_000325.gray
325,2,173358490629000,c2_000325.gray
328,0,173358504964000,c0_000328.gray
328,2,173358504966000,c2_000328.gray
332,0,173358523965000,c0_000332.gray
332,2,173358523963000,c2_000332.gray
334,2,173358538300000,c2_000334.gray
335,0,173358538304000,c0_000335.gray
