#host_mono_ns,byte_offset,bytes
173356606151095,0,20
173356606353699,20,7
173356606421876,27,20
173356606482814,47,20
173356606540418,67,20
173356606596824,87,20
173356606654376,107,20
173356606711408,127,20
173356606768439,147,20
173356606826199,167,20
173356606882501,187,20
173356606939376,207,20
173356606995939,227,20
173356607051772,247,20
173356607108439,267,20
173356607165574,287,20
173356607221668,307,20
173356607277345,327,20
173356607333126,347,20
173356607389428,367,42
173356607446564,409,42
173356607502710,451,42
173356607938491,493,42
173356609031095,535,42
173356610242293,577,42
173356611180730,619,42
173356612261928,661,42
173356613308595,703,42
173356614635991,745,42
173356615556095,787,42
173356616541460,829,42
173356617656408,871,42
173356618685418,913,42
173356618760210,955,42
173356619806095,997,42
173356620877241,1039,42
173356621925158,1081,42
173356622987033,1123,42
173356624058335,1165,42
173356625127918,1207,42
173356626197345,1249,42
173356627266980,1291,42
173356628338439,1333,42
173356629407241,1375,42
173356630524689,1417,42
173356630610053,1459,20
173356631596355,1479,42
173356632612449,1521,42
173356633676408,1563,42
173356634737710,1605,42
173356635799533,1647,42
173356635895991,1689,42
173356636864064,1731,42
173356637928647,1773,42
173356638990366,1815,42
173356640070626,1857,42
173356641353439,1899,42
173356642221355,1941,42
173356643290678,1983,42
173356644354064,2025,42
173356645424064,2067,42
173356646494324,2109,42
173356647564168,2151,42
173356648630210,2193,42
173356649697918,2235,42
173356650787033,2277,42
173356651848595,2319,42
173356652918751,2361,42
173356652989845,2403,42
173356653987970,2445,42
173356655061772,2487,42
173356656125470,2529,42
173356657191824,2571,42
173356658260001,2613,42
173356659324845,2655,42
173356660421772,2697,42
173356661466876,2739,42
173356662538699,2781,42
173356663600158,2823,42
173356663671199,2865,20
173356664706668,2885,42
173356665721772,2927,42
173356666786564,2969,42
173356667906720,3011,42
173356668947397,3053,42
173356670109012,3095,42
173356670196720,3137,42
173356671102397,3179,42
173356672165105,3221,42
173356673234428,3263,42
173356674322553,3305,42
173356675376355,3347,42
173356676443491,3389,42
173356677513647,3431,42
173356678584585,3473,42
173356679654272,3515,42
173356680755574,3557,42
173356681814793,3599,42
173356682885262,3641,42
173356683953543,3683,42
173356685026512,3725,42
173356686094897,3767,42
173356686165314,3809,42
173356687166043,3851,42
173356688239012,3893,42
173356689309428,3935,42
173356690402658,3977,42
173356691454168,4019,42
173356692519012,4061,42
173356693590939,4103,42
173356694658335,4145,42
173356695728960,4187,42
173356696798855,4229,42
173356696869324,4271,20
173356697868387,4291,42
173356698935835,4333,42
173356700242918,4375,42
173356701093022,4417,42
173356702160522,4459,42
173356703230158,4501,42
173356703301772,4543,42
173356704297293,4585,42
173356705368126,4627,42
173356706439220,4669,42
173356707505626,4711,42
173356708577085,4753,42
173356709647293,4795,42
173356710739428,4837,42
173356711800991,4879,42
173356712869949,4921,42
173356713941043,4963,42
173356715008647,5005,42
173356716081616,5047,42
173356717153855,5089,42
173356718223178,5131,42
173356719319533,5173,42
173356720499116,5215,42
173356720585991,5257,42
173356721454897,5299,42
173356722519272,5341,42
173356723588178,5383,42
173356724663491,5425,42
173356725728595,5467,42
173356726794168,5509,42
