USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   53376   6748 SyS_epoll_wait 7f7c0c4128 S init
root             2     0       0      0 kthreadd            0 S [kthreadd]
root             3     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/0]
root             4     2       0      0 worker_thread       0 S [kworker/0:0]
root             5     2       0      0 worker_thread       0 S [kworker/0:0H]
root             6     2       0      0 worker_thread       0 S [kworker/u16:0]
root             7     2       0      0 rcu_gp_kthread      0 S [rcu_preempt]
root             8     2       0      0 rcu_gp_kthread      0 S [rcu_sched]
root             9     2       0      0 rcu_gp_kthread      0 S [rcu_bh]
root            10     2       0      0 smpboot_thread_fn   0 S [migration/0]
root            11     2       0      0 kthread_worker_fn   0 S [kernfs_notifier]
root            12     2       0      0 smpboot_thread_fn   0 S [migration/1]
root            13     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/1]
root            15     2       0      0 worker_thread       0 S [kworker/1:0H]
root            16     2       0      0 smpboot_thread_fn   0 S [migration/2]
root            17     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/2]
root            18     2       0      0 worker_thread       0 S [kworker/2:0]
root            19     2       0      0 worker_thread       0 S [kworker/2:0H]
root            20     2       0      0 smpboot_thread_fn   0 S [migration/3]
root            21     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/3]
root            22     2       0      0 worker_thread       0 S [kworker/3:0]
root            23     2       0      0 worker_thread       0 S [kworker/3:0H]
root            24     2       0      0 smpboot_thread_fn   0 S [migration/4]
root            25     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/4]
root            27     2       0      0 worker_thread       0 S [kworker/4:0H]
root            28     2       0      0 smpboot_thread_fn   0 S [migration/5]
root            29     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/5]
root            31     2       0      0 worker_thread       0 S [kworker/5:0H]
root            32     2       0      0 smpboot_thread_fn   0 S [migration/6]
root            33     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/6]
root            35     2       0      0 worker_thread       0 S [kworker/6:0H]
root            36     2       0      0 smpboot_thread_fn   0 S [migration/7]
root            37     2       0      0 smpboot_thread_fn   0 S [ksoftirqd/7]
root            39     2       0      0 worker_thread       0 S [kworker/7:0H]
root            40     2       0      0 rescuer_thread      0 S [netns]
root            41     2       0      0 rescuer_thread      0 S [perf]
root            42     2       0      0 rescuer_thread      0 S [smd_channel_clo]
root            43     2       0      0 kthread_worker_fn   0 S [dsps_smd_trans_]
root            44     2       0      0 kthread_worker_fn   0 S [lpass_smd_trans]
root            45     2       0      0 kthread_worker_fn   0 S [mpss_smd_trans_]
root            46     2       0      0 kthread_worker_fn   0 S [wcnss_smd_trans]
root            47     2       0      0 kthread_worker_fn   0 S [rpm_smd_trans_g]
root            48     2       0      0 rescuer_thread      0 S [ipa_usb_wq]
root            49     2       0      0 worker_thread       0 S [kworker/4:1]
root            50     2       0      0 rescuer_thread      0 S [rpm_requests]
root            51     2       0      0 kthread_worker_fn   0 S [smem_native_mps]
root            52     2       0      0 kthread_worker_fn   0 S [mpss_smem_glink]
root            53     2       0      0 kthread_worker_fn   0 S [smem_native_lpa]
root            54     2       0      0 kthread_worker_fn   0 S [lpass_smem_glin]
root            55     2       0      0 kthread_worker_fn   0 S [smem_native_dsp]
root            56     2       0      0 kthread_worker_fn   0 S [dsps_smem_glink]
root            57     2       0      0 kthread_worker_fn   0 S [smem_native_rpm]
root            58     2       0      0 kthread_worker_fn   0 S [rpm_smem_glink_]
root            59     2       0      0 msm_mpm_work_fn     0 D [kworker/u16:1]
root            60     2       0      0 kthread_worker_fn   0 S [smem_native_sps]
root            61     2       0      0 kthread_worker_fn   0 S [spss_mailbox_gl]
root            62     2       0      0 watchdog_kthread    0 S [msm_watchdog]
root            63     2       0      0 rescuer_thread      0 S [deferwq]
root            64     2       0      0 irq_thread          0 S [irq/79-cpr3]
root            65     2       0      0 rescuer_thread      0 S [mpm]
root            66     2       0      0 diag_socket_read    0 S [kworker/u16:2]
root            67     2       0      0 rescuer_thread      0 S [writeback]
root            68     2       0      0 kcompactd           0 S [kcompactd0]
root            69     2       0      0 rescuer_thread      0 S [crypto]
root            70     2       0      0 rescuer_thread      0 S [bioset]
root            71     2       0      0 rescuer_thread      0 S [kblockd]
root            72     2       0      0 rescuer_thread      0 S [md]
root            73     2       0      0 ion_heap_deferred_free 0 S [system]
root            74     2       0      0 rescuer_thread      0 S [devfreq_wq]
root            76     2       0      0 rescuer_thread      0 S [cfg80211]
root            77     2       0      0 irq_thread          0 S [irq/317-ibb-sc-]
root            78     2       0      0 irq_thread          0 S [irq/318-lab-sc-]
root            79     2       0      0 irq_thread          0 S [irq/61-bcl_vbat]
root            80     2       0      0 irq_thread          0 S [irq/60-bcl_ibat]
root           106     2       0      0 kswapd              0 S [kswapd0]
root           107     2       0      0 rescuer_thread      0 S [vmstat]
root           108     2       0      0 fsnotify_mark_destroy 0 S [fsnotify_mark]
root           109     2       0      0 ecryptfs_threadfn   0 S [ecryptfs-kthrea]
root           144     2       0      0 rescuer_thread      0 S [ad_calc_wq]
root           145     2       0      0 dsi_event_thread    0 D [mdss_dsi_event]
root           146     2       0      0 rescuer_thread      0 S [mdss_dsi_dba]
root           147     2       0      0 rescuer_thread      0 S [mdss_dsi_dba]
root           148     2       0      0 rescuer_thread      0 S [cwb_wq]
root           150     2       0      0 rescuer_thread      0 S [glink_ssr_wq]
root           151     2       0      0 rescuer_thread      0 S [glink_lbsrv]
root           152     2       0      0 kthread_worker_fn   0 S [spi_wdsp]
root           153     2       0      0 kthread_worker_fn   0 S [wdsp_spi_glink_]
root           154     2       0      0 rescuer_thread      0 S [glink_xprt_wq]
root           155     2       0      0 rescuer_thread      0 S [IPCRTR_mpss_sme]
root           156     2       0      0 rescuer_thread      0 S [IPCRTR_lpass_sm]
root           157     2       0      0 rescuer_thread      0 S [IPCRTR_dsps_sme]
root           158     2       0      0 rescuer_thread      0 S [apr_driver]
root           159     2       0      0 rescuer_thread      0 S [glink_pkt_wq]
root           160     2       0      0 rescuer_thread      0 S [mem_share_svc]
root           161     2       0      0 rescuer_thread      0 S [qmi_hndl0000000]
root           162     2       0      0 rescuer_thread      0 S [msm_ipc_router]
root           163     2       0      0 irq_thread          0 S [irq/87-arm-smmu]
root           164     2       0      0 rescuer_thread      0 S [qmi_svc_event_w]
root           165     2       0      0 rescuer_thread      0 S [servloc_wq]
root           166     2       0      0 rescuer_thread      0 S [k_hsuart]
root           167     2       0      0 kthread_worker_fn   0 S [msm_serial_hs_0]
root           168     2       0      0 kthread_worker_fn   0 S [msm_serial_hs_0]
root           169     2       0      0 rescuer_thread      0 S [k_hsuart]
root           170     2       0      0 kthread_worker_fn   0 S [msm_serial_hs_0]
root           171     2       0      0 kthread_worker_fn   0 S [msm_serial_hs_0]
root           172     2       0      0 rescuer_thread      0 S [diag_real_time_]
root           173     2       0      0 rescuer_thread      0 S [diag_wq]
root           174     2       0      0 rescuer_thread      0 S [DIAG_USB_diag]
root           175     2       0      0 rescuer_thread      0 S [diag_cntl_wq]
root           176     2       0      0 rescuer_thread      0 S [diag_dci_wq]
root           177     2       0      0 rescuer_thread      0 S [DIAG_SMD_MODEM_]
root           178     2       0      0 rescuer_thread      0 S [DIAG_SMD_MODEM_]
root           179     2       0      0 rescuer_thread      0 S [DIAG_SMD_MODEM_]
root           180     2       0      0 rescuer_thread      0 S [DIAG_SMD_MODEM_]
root           181     2       0      0 rescuer_thread      0 S [DIAG_SMD_MODEM_]
root           182     2       0      0 rescuer_thread      0 S [DIAG_SMD_LPASS_]
root           183     2       0      0 rescuer_thread      0 S [DIAG_SMD_LPASS_]
root           184     2       0      0 rescuer_thread      0 S [DIAG_SMD_LPASS_]
root           185     2       0      0 rescuer_thread      0 S [DIAG_SMD_LPASS_]
root           186     2       0      0 rescuer_thread      0 S [DIAG_SMD_LPASS_]
root           187     2       0      0 rescuer_thread      0 S [DIAG_SMD_WCNSS_]
root           188     2       0      0 rescuer_thread      0 S [DIAG_SMD_WCNSS_]
root           189     2       0      0 rescuer_thread      0 S [DIAG_SMD_WCNSS_]
root           190     2       0      0 rescuer_thread      0 S [DIAG_SMD_WCNSS_]
root           191     2       0      0 rescuer_thread      0 S [DIAG_SMD_WCNSS_]
root           192     2       0      0 rescuer_thread      0 S [DIAG_SMD_SENSOR]
root           193     2       0      0 rescuer_thread      0 S [DIAG_SMD_SENSOR]
root           194     2       0      0 rescuer_thread      0 S [DIAG_SMD_SENSOR]
root           195     2       0      0 rescuer_thread      0 S [DIAG_SMD_SENSOR]
root           196     2       0      0 rescuer_thread      0 S [DIAG_SMD_SENSOR]
root           197     2       0      0 rescuer_thread      0 S [DIAG_SMD_DIAG_C]
root           198     2       0      0 rescuer_thread      0 S [DIAG_SMD_DIAG_D]
root           199     2       0      0 rescuer_thread      0 S [DIAG_SMD_DIAG_C]
root           200     2       0      0 rescuer_thread      0 S [DIAG_SMD_DIAG_D]
root           201     2       0      0 rescuer_thread      0 S [DIAG_SMD_DIAG_D]
root           202     2       0      0 rescuer_thread      0 S [DIAG_SMD_CDSP_C]
root           203     2       0      0 rescuer_thread      0 S [DIAG_SMD_CDSP_D]
root           204     2       0      0 rescuer_thread      0 S [DIAG_SMD_CDSP_C]
root           205     2       0      0 rescuer_thread      0 S [DIAG_SMD_CDSP_D]
root           206     2       0      0 rescuer_thread      0 S [DIAG_SMD_CDSP_D]
root           207     2       0      0 rescuer_thread      0 S [DIAG_SOCKMODEM_]
root           208     2       0      0 rescuer_thread      0 S [DIAG_SOCKMODEM_]
root           209     2       0      0 rescuer_thread      0 S [DIAG_SOCKMODEM_]
root           210     2       0      0 rescuer_thread      0 S [DIAG_SOCKMODEM_]
root           211     2       0      0 rescuer_thread      0 S [DIAG_SOCKMODEM_]
root           212     2       0      0 rescuer_thread      0 S [DIAG_SOCKLPASS_]
root           213     2       0      0 rescuer_thread      0 S [DIAG_SOCKLPASS_]
root           214     2       0      0 rescuer_thread      0 S [DIAG_SOCKLPASS_]
root           215     2       0      0 rescuer_thread      0 S [DIAG_SOCKLPASS_]
root           216     2       0      0 rescuer_thread      0 S [DIAG_SOCKLPASS_]
root           217     2       0      0 rescuer_thread      0 S [DIAG_SOCKWCNSS_]
root           218     2       0      0 rescuer_thread      0 S [DIAG_SOCKWCNSS_]
root           219     2       0      0 rescuer_thread      0 S [DIAG_SOCKWCNSS_]
root           220     2       0      0 rescuer_thread      0 S [DIAG_SOCKWCNSS_]
root           221     2       0      0 rescuer_thread      0 S [DIAG_SOCKWCNSS_]
root           222     2       0      0 rescuer_thread      0 S [DIAG_SOCKSENSOR]
root           223     2       0      0 rescuer_thread      0 S [DIAG_SOCKSENSOR]
root           224     2       0      0 rescuer_thread      0 S [DIAG_SOCKSENSOR]
root           225     2       0      0 rescuer_thread      0 S [DIAG_SOCKSENSOR]
root           226     2       0      0 rescuer_thread      0 S [DIAG_SOCKSENSOR]
root           227     2       0      0 rescuer_thread      0 S [DIAG_SOCKDIAG_C]
root           228     2       0      0 rescuer_thread      0 S [DIAG_SOCKDIAG_D]
root           229     2       0      0 rescuer_thread      0 S [DIAG_SOCKDIAG_C]
root           230     2       0      0 rescuer_thread      0 S [DIAG_SOCKDIAG_D]
root           231     2       0      0 rescuer_thread      0 S [DIAG_SOCKDIAG_D]
root           232     2       0      0 rescuer_thread      0 S [DIAG_SOCKCDSP_C]
root           233     2       0      0 rescuer_thread      0 S [DIAG_SOCKCDSP_D]
root           234     2       0      0 rescuer_thread      0 S [DIAG_SOCKCDSP_C]
root           235     2       0      0 rescuer_thread      0 S [DIAG_SOCKCDSP_D]
root           236     2       0      0 rescuer_thread      0 S [DIAG_SOCKCDSP_D]
root           237     2       0      0 rescuer_thread      0 S [DIAG_CNTL_SOCKE]
root           238     2       0      0 rescuer_thread      0 S [DIAG_GLINK_DIAG]
root           239     2       0      0 rescuer_thread      0 S [DIAG_GLINK_DIAG]
root           240     2       0      0 rescuer_thread      0 S [DIAG_GLINK_DIAG]
root           241     2       0      0 rescuer_thread      0 S [DIAG_GLINK_DIAG]
root           242     2       0      0 rescuer_thread      0 S [DIAG_GLINK_DIAG]
root           243     2       0      0 rescuer_thread      0 S [kgsl-workqueue]
root           244     2       0      0 rescuer_thread      0 S [kgsl-mementry]
root           245     2       0      0 kthread_worker_fn   0 S [kgsl_worker_thr]
root           246     2       0      0 rescuer_thread      0 S [kgsl-events]
root           247     2       0      0 rescuer_thread      0 S [kgsl_devfreq_wq]
root           248     2       0      0 rescuer_thread      0 S [bioset]
root           249     2       0      0 rescuer_thread      0 S [bioset]
root           250     2       0      0 rescuer_thread      0 S [bioset]
root           251     2       0      0 rescuer_thread      0 S [bioset]
root           252     2       0      0 rescuer_thread      0 S [bioset]
root           253     2       0      0 rescuer_thread      0 S [bioset]
root           254     2       0      0 worker_thread       0 S [kworker/4:2]
root           255     2       0      0 rescuer_thread      0 S [bioset]
root           256     2       0      0 rescuer_thread      0 S [bioset]
root           257     2       0      0 rescuer_thread      0 S [bioset]
root           258     2       0      0 rescuer_thread      0 S [bioset]
root           259     2       0      0 rescuer_thread      0 S [bioset]
root           260     2       0      0 rescuer_thread      0 S [bioset]
root           261     2       0      0 rescuer_thread      0 S [bioset]
root           262     2       0      0 rescuer_thread      0 S [bioset]
root           263     2       0      0 rescuer_thread      0 S [bioset]
root           264     2       0      0 rescuer_thread      0 S [bioset]
root           265     2       0      0 rescuer_thread      0 S [bioset]
root           266     2       0      0 rescuer_thread      0 S [bioset]
root           267     2       0      0 rescuer_thread      0 S [bioset]
root           268     2       0      0 rescuer_thread      0 S [bioset]
root           269     2       0      0 rescuer_thread      0 S [bioset]
root           270     2       0      0 rescuer_thread      0 S [bioset]
root           271     2       0      0 rescuer_thread      0 S [bioset]
root           272     2       0      0 rescuer_thread      0 S [bioset]
root           273     2       0      0 rescuer_thread      0 S [bioset]
root           274     2       0      0 rescuer_thread      0 S [bioset]
root           275     2       0      0 rescuer_thread      0 S [bioset]
root           276     2       0      0 rescuer_thread      0 S [bioset]
root           277     2       0      0 rescuer_thread      0 S [bioset]
root           278     2       0      0 rescuer_thread      0 S [bioset]
root           279     2       0      0 rescuer_thread      0 S [bioset]
root           280     2       0      0 rescuer_thread      0 S [bioset]
root           281     2       0      0 rescuer_thread      0 S [bioset]
root           282     2       0      0 __qseecom_unregister_listener_kthread_func 0 S [qseecom-unreg-l]
root           283     2       0      0 __qseecom_unload_app_kthread_func 0 S [qseecom-unload-]
root           284     2       0      0 rescuer_thread      0 S [qcrypto_seq_res]
root           305     2       0      0 scsi_error_handler  0 S [scsi_eh_0]
root           306     2       0      0 rescuer_thread      0 S [scsi_tmf_0]
root           307     2       0      0 rescuer_thread      0 S [ufs_pm_qos_0]
root           308     2       0      0 rescuer_thread      0 S [ufs_clk_gating_]
root           309     2       0      0 rescuer_thread      0 S [ufs_clkscaling_]
root           310     2       0      0 kthread_worker_fn   0 S [spi5]
root           311     2       0      0 kthread_worker_fn   0 S [spi10]
root           312     2       0      0 kthread_worker_fn   0 S [spi12]
root           313     2       0      0 rescuer_thread      0 S [bond0]
root           314     2       0      0 rescuer_thread      0 S [sharedmem_qmi_w]
root           315     2       0      0 rescuer_thread      0 S [qmi_hndl0000000]
root           318     2       0      0 rescuer_thread      0 S [k_sm_usb]
root           322     2       0      0 rescuer_thread      0 S [uether]
root           323     2       0      0 rescuer_thread      0 S [k_ipa_usb]
root           327     2       0      0 rescuer_thread      0 S [msm_cci_wq]
root           328     2       0      0 rescuer_thread      0 S [msm_cci_wq]
root           329     2       0      0 rescuer_thread      0 S [msm_cpp_workque]
root           330     2       0      0 kthread_worker_fn   0 S [msm_vidc_worker]
root           331     2       0      0 rescuer_thread      0 S [pm_workerq_venu]
root           332     2       0      0 irq_thread          0 S [irq/111-arm-smm]
root           333     2       0      0 irq_thread          0 S [irq/112-arm-smm]
root           334     2       0      0 irq_thread          0 S [irq/113-arm-smm]
root           335     2       0      0 irq_thread          0 S [irq/114-arm-smm]
root           336     2       0      0 kthread_worker_fn   0 S [rot_commitq_0_0]
root           337     2       0      0 kthread_worker_fn   0 S [rot_commitq_0_1]
root           338     2       0      0 kthread_worker_fn   0 S [rot_doneq_0_0]
root           339     2       0      0 kthread_worker_fn   0 S [rot_doneq_0_1]
root           340     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           342     2       0      0 worker_thread       0 S [kworker/5:3]
root           343     2       0      0 worker_thread       0 S [kworker/5:4]
root           346     2       0      0 rescuer_thread      0 S [bioset]
root           348     2       0      0 worker_thread       0 S [kworker/0:2]
root           349     2       0      0 worker_thread       0 S [kworker/0:1H]
root           350     2       0      0 rescuer_thread      0 S [bioset]
root           351     2       0      0 rescuer_thread      0 S [bioset]
root           352     2       0      0 rescuer_thread      0 S [bioset]
root           353     2       0      0 rescuer_thread      0 S [bioset]
root           354     2       0      0 rescuer_thread      0 S [bioset]
root           355     2       0      0 rescuer_thread      0 S [bioset]
root           356     2       0      0 rescuer_thread      0 S [bioset]
root           357     2       0      0 rescuer_thread      0 S [bioset]
root           358     2       0      0 worker_thread       0 S [kworker/u16:5]
root           361     2       0      0 worker_thread       0 S [kworker/u16:8]
root           362     2       0      0 worker_thread       0 S [kworker/1:1]
root           364     2       0      0 worker_thread       0 S [kworker/6:1]
root           365     2       0      0 irq_thread          0 S [irq/450-chg-err]
root           366     2       0      0 irq_thread          0 S [irq/451-chg-sta]
root           367     2       0      0 irq_thread          0 S [irq/455-otg-fai]
root           368     2       0      0 irq_thread          0 S [irq/456-otg-ove]
root           369     2       0      0 irq_thread          0 S [irq/457-otg-oc-]
root           370     2       0      0 irq_thread          0 S [irq/458-testmod]
root           371     2       0      0 irq_thread          0 S [irq/459-bat-tem]
root           372     2       0      0 irq_thread          0 S [irq/460-bat-ocp]
root           373     2       0      0 irq_thread          0 S [irq/461-bat-ov]
root           374     2       0      0 irq_thread          0 S [irq/462-bat-low]
root           375     2       0      0 irq_thread          0 S [irq/463-bat-the]
root           376     2       0      0 irq_thread          0 S [irq/464-bat-ter]
root           377     2       0      0 irq_thread          0 S [irq/465-usbin-c]
root           378     2       0      0 irq_thread          0 S [irq/466-usbin-l]
root           379     2       0      0 irq_thread          0 S [irq/467-usbin-u]
root           380     2       0      0 irq_thread          0 S [irq/468-usbin-o]
root           381     2       0      0 irq_thread          0 S [irq/469-usbin-p]
root           382     2       0      0 irq_thread          0 S [irq/470-usbin-s]
root           383     2       0      0 irq_thread          0 S [irq/471-usbin-i]
root           384     2       0      0 irq_thread          0 S [irq/472-type-c-]
root           385     2       0      0 irq_thread          0 S [irq/473-dcin-co]
root           386     2       0      0 irq_thread          0 S [irq/474-dcin-lt]
root           387     2       0      0 irq_thread          0 S [irq/475-dcin-uv]
root           388     2       0      0 irq_thread          0 S [irq/476-dcin-ov]
root           389     2       0      0 irq_thread          0 S [irq/477-dcin-pl]
root           390     2       0      0 irq_thread          0 S [irq/478-div2-en]
root           391     2       0      0 irq_thread          0 S [irq/479-dcin-ic]
root           392     2       0      0 irq_thread          0 S [irq/481-wdog-ba]
root           393     2       0      0 irq_thread          0 S [irq/482-aicl-fa]
root           394     2       0      0 irq_thread          0 S [irq/483-aicl-do]
root           395     2       0      0 irq_thread          0 S [irq/484-high-du]
root           396     2       0      0 irq_thread          0 S [irq/485-input-c]
root           397     2       0      0 irq_thread          0 S [irq/486-tempera]
root           398     2       0      0 irq_thread          0 S [irq/487-switche]
root           399     2       0      0 irq_thread          0 S [irq/38-ptrain-d]
root           400     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           401     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           402     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           403     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           404     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           405     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           406     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           407     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           408     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           409     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           410     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           411     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           412     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           413     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           414     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           415     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           416     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           417     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           418     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           419     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           420     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           421     2       0      0 irq_thread          0 S [irq/51-tsens_in]
root           422     2       0      0 irq_thread          0 S [irq/52-tsens_cr]
root           423     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           424     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           425     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           426     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           427     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           428     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           429     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
root           430     2       0      0 sensor_sysfs_notify 0 S [therm_core:noti]
